code,product_name,ingredients_text,allergens,allergens_en,additives_en,confirmed_allergens,potential_allergens,evidence_level,evidence_text,review_status
0000200000002,Beurre de Cacahuètes Bio,"Cacahuètes grillées* (99,7%), sel de mer (0,3%). (*issu de l'agriculture biologique)",en:peanuts,,,peanut,,DIRECT,"Cacahuètes grillées* (99,7%), sel de mer (0,3%). (*issu de l'agriculture biologique)",MANUALLY_REVIEWED
0000200000015,Purée d'Amandes Blanches Grillées Bio,"Amandes blanches grillées* (100%) (*issu de l'agricul - ture biologique). Peut contenir des traces de fruits à coque, d'arachides et de graines de sésame. Ingredients: roasted white almonds* (100%) (*from organic farming). May contain traces of tree nuts, peanuts and sesame seeds. À consommer avant le : voir couvercle /To be consumed before: see the lid 10",en:peanuts,,,tree_nut,peanut;sesame,DIRECT,"Amandes blanches grillées* (100%) (*issu de l'agricul - ture biologique). Peut contenir des traces de fruits à coque, d'arachides et de graines de sésame. Ingredients: roasted white almonds* (100%) (*from organic farming). May contain traces of tree nuts, peanuts and sesame seeds. À consommer avant le : voir couvercle /To be consumed before: see the lid 10",MANUALLY_REVIEWED
0000210320102,Dutch chocolate,"PROTEIN BLEND (SOY PROTEIN ISOLATE, WHEY PROTE ISOLATE, PEA PROTEIN), CRYSTALLINE FRUCTOSE, HIGH OLEIC SUNFLOWER OL MALTODEXTRIN, DUTCHED COCOA, SOY FIBER, CANE FIBER, NATURAL FLAVORS (CHOCOLATE), THICKENER (GUM ARABIC), OLIGOFRUCTOSE POWDER POTASSIUM PHOSPHATE, PRUNE POWDER, CALCIUM CARBONATE SODIUM CASEINATE, THICKENER (CELLULOSE GUM), SALT, THOBER (XANTHAN GUM), INULIN, EMULSIFIER (SOY LECITHIN), ANTICAKING AGENT (SILICON DIOXIDE), ANTIOXIDANT (NATURAL TOCOPHEROLS), MAGNESIUM OXIDE, ZINC GLUCONATE,ASCORBIC ACID (VITAMIN C), FERROUS FUMERATE (RON). POTASSIUM IODIDE, D-ALPHA-TOCOPHERYL ACETATE (MITAMINE NACINAMIDE, VITAMIN A PALMITATE, CHOLECALCIFEROL (VITAMIN D FOLIC ACID, RIBOFLAVIN (VITAMIN B2), PYRIDOXINE HYDROCHLORIDE (MITAMIN B6), THIAMIN HYDROCHLORIDE (VITAMIN B1), CYANOCOBALAMIN (MITAMIN B12). CONTAINS: SOYBEAN AND MILK. PRODUCED ON EQUIPMENT THAT ALSO PROCESSES PEANUTS, TREE NUTS, EGGS, WHEAT SESAME AND SHELLFISH FOR OUR CUSTOMERS SENSITIVE TO GLUTEN: NO GLUTEN-CONTAIN NUTRIMEAL IS PRODUCED IN A FACILITY THAT MANUFACTURES OTHER INGREDIENTS ARE USED IN THIS PRODUCT. HOWEVER DUTCH CHOCOLATE FOODS THAT DO CONTAIN GLUTEN. NUTR Du D",,,"E306 - Tocopherol-rich extract,E322 - Lecithins,E322i - Lecithin,E340 - Potassium phosphates,E414 - Acacia gum,E415 - Xanthan gum,E466 - Sodium carboxy methyl cellulose,E551 - Silicon dioxide",soy;milk,peanut;tree_nut;egg;wheat_gluten;sesame;shellfish,DIRECT,"PROTEIN BLEND (SOY PROTEIN ISOLATE, WHEY PROTE ISOLATE, PEA PROTEIN), CRYSTALLINE FRUCTOSE, HIGH OLEIC SUNFLOWER OL MALTODEXTRIN, DUTCHED COCOA, SOY FIBER, CANE FIBER, NATURAL FLAVORS (CHOCOLATE), THICKENER (GUM ARABIC), OLIGOFRUCTOSE POWDER POTASSIUM PHOSPHATE, PRUNE POWDER, CALCIUM CARBONATE SODIUM CASEINATE, THICKENER (CELLULOSE GUM), SALT, THOBER (XANTHAN GUM), INULIN, EMULSIFIER (SOY LECITHIN), ANTICAKING AGENT (SILICON DIOXIDE), ANTIOXIDANT (NATURAL TOCOPHEROLS), MAGNESIUM OXIDE, ZINC GLUCONATE,ASCORBIC ACID (VITAMIN C), FERROUS FUMERATE (RON). POTASSIUM IODIDE, D-ALPHA-TOCOPHERYL ACETATE (MITAMINE NACINAMIDE, VITAMIN A PALMITATE, CHOLECALCIFEROL (VITAMIN D FOLIC ACID, RIBOFLAVIN (VITAMIN B2), PYRIDOXINE HYDROCHLORIDE (MITAMIN B6), THIAMIN HYDROCHLORIDE (VITAMIN B1), CYANOCOBALAMIN (MITAMIN B12). CONTAINS: SOYBEAN AND MILK. PRODUCED ON EQUIPMENT THAT ALSO PROCESSES PEANUTS, TREE NUTS, EGGS, WHEAT SESAME AND SHELLFISH FOR OUR CUSTOMERS SENSITIVE TO GLUTEN: NO GLUTEN-CONTAIN NUTRIMEAL IS PRODUCED IN A FACILITY THAT MANUFACTURES OTHER INGREDIENTS ARE USED IN THIS PRODUCT. HOWEVER DUTCH CHOCOLATE FOODS THAT DO CONTAIN GLUTEN. NUTR Du D",MANUALLY_REVIEWED
00002171,Organic Vegan Protein Shake Mix,"Organic Plant Protein Blend (Organic Pea, Organic Pumpkin, Organic Coconut & Organic Sunflower), Organic Fruit Blend (Organic Date, Organic Banan: & Organic Baobab), Organic Agave Fiber, Organic Pea Starch, Flax Seed Fiber, 120 Organic Cocoa (Alkalised), Natural Flavors % Daily Value* 3% Probiotics & Digestive Enzyme Blend (Bacillus Coagulans, Amylase, Protease, Cellulase, Lactase & Lipase), Organic Monkfruit Extract, Milled Flax Seeds Organic Cinnamon Ceylon, Organic Turmeric. 0% Trans Fat 0g Cholesterol Omg 0% Contains: Coconut. Made in a facility Sodium 240mg 10% that uses peanuts, tree nuts & sesame Total Carbohydrate 11g 4% - may contain traces. Dietary Fiber 5g 18% Made in Ireland by Wyldsson Ltd., Total Sugars 3g Snowdrop, Dublin 22, Ireland. Includes Og Added Sugars 0% Certified Organic by Irish Organic Protein 20g 27% Association (IOA). Calcium 16mg 2% Iron 6mg 30% Potassium 135mg 4% Magnesium 50mg 10% No salt added but this is not a sodium free food. Suggested daily serving size: 35g. We believe in a varied, balanced diet. Zinc 3mg 20% Not a significant source of Vitamin D The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice. X002C1C71V EarthChimp Organic Veg...ee, Gum Free (Vanilla) New SPREAD 10",,,"E1100 - Alpha-Amylase,E1101 - Protease,E1104 - Lipase,E406 - Agar",coconut,peanut;tree_nut;sesame,DIRECT,"Organic Plant Protein Blend (Organic Pea, Organic Pumpkin, Organic Coconut & Organic Sunflower), Organic Fruit Blend (Organic Date, Organic Banan: & Organic Baobab), Organic Agave Fiber, Organic Pea Starch, Flax Seed Fiber, 120 Organic Cocoa (Alkalised), Natural Flavors % Daily Value* 3% Probiotics & Digestive Enzyme Blend (Bacillus Coagulans, Amylase, Protease, Cellulase, Lactase & Lipase), Organic Monkfruit Extract, Milled Flax Seeds Organic Cinnamon Ceylon, Organic Turmeric. 0% Trans Fat 0g Cholesterol Omg 0% Contains: Coconut. Made in a facility Sodium 240mg 10% that uses peanuts, tree nuts & sesame Total Carbohydrate 11g 4% - may contain traces. Dietary Fiber 5g 18% Made in Ireland by Wyldsson Ltd., Total Sugars 3g Snowdrop, Dublin 22, Ireland. Includes Og Added Sugars 0% Certified Organic by Irish Organic Protein 20g 27% Association (IOA). Calcium 16mg 2% Iron 6mg 30% Potassium 135mg 4% Magnesium 50mg 10% No salt added but this is not a sodium free food. Suggested daily serving size: 35g. We believe in a varied, balanced diet. Zinc 3mg 20% Not a significant source of Vitamin D The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice. X002C1C71V EarthChimp Organic Veg...ee, Gum Free (Vanilla) New SPREAD 10",MANUALLY_REVIEWED
0000231312345,yogurt,"milk, strawberry, gluten,  eggs, peanuts",,,,milk;wheat_gluten;egg;peanut,,DIRECT,"milk, strawberry, gluten,  eggs, peanuts",MANUALLY_REVIEWED
0000252828288,Chick-fil-A nuggets,"chicken (boneless, skinless chicken breast meat nuggets, salt, monosodium glutamate, sugar, spices, paprika, enriched bleached flour [with malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, salt, monosodium glutamate, nonfat milk, leavening [baking soda, sodium aluminum phosphate, monocalcium phosphate], spice, soybean oil, color [paprika], pasteurized nonfat milk, pasteurized egg, fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent}  added])",,,"E341 - Calcium phosphates,E341i - Monocalcium phosphate,E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate,E541 - Sodium aluminium phosphate,E621 - Monosodium glutamate,E900 - Dimethylpolysiloxane and Methylphenylpolysiloxane,E900a - Dimethyl polysiloxane",wheat_gluten;milk;soy;egg;peanut,,DIRECT,"chicken (boneless, skinless chicken breast meat nuggets, salt, monosodium glutamate, sugar, spices, paprika, enriched bleached flour [with malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, salt, monosodium glutamate, nonfat milk, leavening [baking soda, sodium aluminum phosphate, monocalcium phosphate], spice, soybean oil, color [paprika], pasteurized nonfat milk, pasteurized egg, fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent}  added])",MANUALLY_REVIEWED
0000281756504,"Piasten, Chocolate Assortment","Sugar, wheat starch, glucose syrup, whole soya flour, milk sugar, vegetable fat, cocoa butter, cocoa mass, whole milk powder, caramel sugar syrup, dextrose, peanuts, hazelnuts, glucose fructose syrup, vegetable oil, emulsifier: lecithins, humectant: invertase, rice flour, flavouring, orange peel, acidity regulator: citric acid, egg powder, cocoa solids: milk chocolate: cocoa solids 25% min., milk solids 14% min.; chocolate: cocoa solids 35% min.",,,"E1103 - Invertase,E322 - Lecithins,E330 - Citric acid",wheat_gluten;soy;milk;peanut;tree_nut;egg,,DIRECT,"Sugar, wheat starch, glucose syrup, whole soya flour, milk sugar, vegetable fat, cocoa butter, cocoa mass, whole milk powder, caramel sugar syrup, dextrose, peanuts, hazelnuts, glucose fructose syrup, vegetable oil, emulsifier: lecithins, humectant: invertase, rice flour, flavouring, orange peel, acidity regulator: citric acid, egg powder, cocoa solids: milk chocolate: cocoa solids 25% min., milk solids 14% min.; chocolate: cocoa solids 35% min.",MANUALLY_REVIEWED
0000380102109,Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,"Milk protein isolate, Whey protein cocoa crisps (whey protein isolate, whey protein concentrate, tapioca starch, Dutch cocoa powder, calcium carbonate, sunflower lecithin), Fructooligosaccharides, Glycerin, Polydextrose (3.5 g per serving of 61 g), Sugars (tapioca syrup, sugar), Maltodextrin (tapioca fibre), Modified palm kernel oil, Natural flavours, Almond butter, Whey protein isolate, Water, Sunflower oil, Chocolate liquor, Cocoa butter, Cocoa powder, Sunflower lecithin, Vegetable extract blend (broccoli, spinach, kale, squash, sweet potato, sunflower seed, cranberry, chlorella, maitake mushroom), Salt, Cream, Acacia gum, Carrageenan, Stevia leaf extract, Tocopherols, Peanuts","en:milk,en:nuts,en:peanuts",,"E1200 - Polydextrose,E322 - Lecithins,E322i - Lecithin,E407 - Carrageenan,E414 - Acacia gum,E422 - Glycerol,E960 - Steviol glycosides",milk;tree_nut;peanut,,DIRECT,"Milk protein isolate, Whey protein cocoa crisps (whey protein isolate, whey protein concentrate, tapioca starch, Dutch cocoa powder, calcium carbonate, sunflower lecithin), Fructooligosaccharides, Glycerin, Polydextrose (3.5 g per serving of 61 g), Sugars (tapioca syrup, sugar), Maltodextrin (tapioca fibre), Modified palm kernel oil, Natural flavours, Almond butter, Whey protein isolate, Water, Sunflower oil, Chocolate liquor, Cocoa butter, Cocoa powder, Sunflower lecithin, Vegetable extract blend (broccoli, spinach, kale, squash, sweet potato, sunflower seed, cranberry, chlorella, maitake mushroom), Salt, Cream, Acacia gum, Carrageenan, Stevia leaf extract, Tocopherols, Peanuts",MANUALLY_REVIEWED
00004221,100% Grass-fed Whey Protein Isolate,"Grass-Fed Whey Protein Isolate, Peanut Flour, Cocoa Powder, Natural Chocolate Flavor, Salt, Stevia Extract, Sunflower Lecithin",,,"E322 - Lecithins,E322i - Lecithin",milk;peanut,,DIRECT,"Grass-Fed Whey Protein Isolate, Peanut Flour, Cocoa Powder, Natural Chocolate Flavor, Salt, Stevia Extract, Sunflower Lecithin",MANUALLY_REVIEWED
0000433821500,The Best Peanut Butter Cookies,"ONLY THE BEST: UN-BLEACHED FLOUR, 100% ORGANIC PEANUT BUTTER, PEANUTS, CREAMERY BUTTER, UN-REFINED SUGAR, WHOLE EGG.",,,,wheat_gluten;peanut;milk;egg,,DIRECT,"ONLY THE BEST: UN-BLEACHED FLOUR, 100% ORGANIC PEANUT BUTTER, PEANUTS, CREAMERY BUTTER, UN-REFINED SUGAR, WHOLE EGG.",MANUALLY_REVIEWED
00004559,Peanuts,"PEANUTS, WHEAT FLOUR, SUGAR, RICE FLOUR, TAPIOCA STARCH, SALT, LEAVENING (AMMONIUM BICARBONATE, BAKING SODA), SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT), POTATO STARCH.",,,"E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate,E503 - Ammonium carbonates,E503ii - Ammonium hydrogen carbonate",peanut;wheat_gluten;soy,,DIRECT,"PEANUTS, WHEAT FLOUR, SUGAR, RICE FLOUR, TAPIOCA STARCH, SALT, LEAVENING (AMMONIUM BICARBONATE, BAKING SODA), SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT), POTATO STARCH.",MANUALLY_REVIEWED
