code,product_name,ingredients_text,candidate_category,confirmed_allergens,potential_allergens,evidence_level,is_food,review_status
0000200008497,serving contains: Saturates Sugars Salt 0.6g 0.7g,"Potatoes, Vegetable Oils (Sunflower, Rapeseed, in varying proportions), Tomato Ketchup Seasoning [Sugar, Flavourings, Potassium Chloride, Salt, Tomato Powder, Acid (Citric Acid), Colour (Paprika Extract)], Antioxidants (Rosemary Extract, Ascorbic Acid, Tocopherol Rich Extract, Citric Acid). Allergy Advice May Contain: Milk, Wheat, Gluten, Barley, Soya, Celery, Mustard. SUITABLE FOR VEGETARIANS Packaged in a Protective Atmosphere. WALKERS, and the WALKERS logo are registered Trademarks 2025 The HEINZ trademarks are owned by H.J. Heinz Foods UK Limited and are used under license",,,milk;wheat_gluten;soy,PRECAUTIONARY,YES,KEEP
0000433821500,The Best Peanut Butter Cookies,"ONLY THE BEST: UN-BLEACHED FLOUR, 100% ORGANIC PEANUT BUTTER, PEANUTS, CREAMERY BUTTER, UN-REFINED SUGAR, WHOLE EGG.",peanut;egg;wheat_gluten,peanut;milk;egg;wheat_gluten,,DIRECT,YES,KEEP
00002955,Chocolat noir sésame complet,"Pâte de cacao Équateur*, sucre de canne blond*, beurre de cacao*, sésame* 10%. *Ingrédients agricoles issus de l'agriculture biologique. Cacao, sucre, Commerce Equitable contrôlé selon le référentiel Fair for Life: 90% du total des ingrédients d'origine agricole sont issus de filières BIOPARTENAIRE (¹) Plus d'informations sur www.BIOPARTENAIRE.com. Peut contenir des traces de fruits à coques, de gluten, d'oeuf, de soja et de lait.",,sesame,tree_nut;wheat_gluten;egg;soy;milk,BOTH,YES,KEEP
00002229,Phat Crumbs,"almond flour, egg whites, soluble tapioca fiber, salt, black pepper, rosemary, garlic, onion, xanthan gum, rosemary extract",egg;wheat_gluten;tree_nut,egg;tree_nut,,DIRECT,YES,KEEP
00003991,Poudre de cacao,"Poudre de cacao biologique Peut contenir : Noix, Graines de sésame",,,tree_nut;sesame,PRECAUTIONARY,YES,KEEP
00000147,Pan,"Pâtes à l'épeautre - Rêve de Neptune - Spelt neptunes dream (500g e) Ingrédients Ingrediënten speltbloem*, tomaat*, spinazie*, biet&quot;, spirulina* farine d'épeautre *, tomates *, épinards *, betteraves *, spiruline *",,wheat_gluten,,DIRECT,YES,KEEP
0000978623508,Pane proteico,"Acqua, Miscela di proteine (12%) (Proteine del grano, Proteine del picelli), farina di segale integrale, Semi di lino scuri, Sola macinata grossa (6%), Farina di soia (3%), Crusca di frumento, Semi di lino dorati, Semi di girasole, Sesamo, Aceto di mele, Sale, Farina di segale, Lievito, Siero del latte in polvere",,milk;soy;wheat_gluten;sesame,,DIRECT,YES,KEEP
00015363,Solène céréales poulet à l’italienne,"PAIN SOLENE AUX CEREALE S 51,4% Farine de BLE, eau, GRAINES 8% [lin brun, millet, lin jaune, tournesol, SESAME], sel, levure, GLUTEN DE BLE, farine de BLE malté, levure désactivée, agent de traitement de la farine : acide ascorbique, Garniture 48,6% : Émincé de poulet rôti 39,1% (filet de poulet 82% [origine UE], eau, acidifiant : lactate de potassium et acétate de sodium, amidon modifié de manioc, sel,  dextrose et sirop de glucose, arômes, gélifiants E407a, antioxydant : érythorbate de sodium, colorant: caramel), billes de MOZZARELLA 31,3% (LAIT pasteurisé, sel, coagulant microbien correcteur d'acidité E330, conservateur : E202), tomates confites 15,6% (tomates 73,5% huiles végétales 25%, sel, ail, origan), salade batavia 11,7%. huile d'olive 1,4%. épices italiennes (poivrons rouge et vert, tomate en poudre, ail déshydraté 14,9%, origan 11,8%, oignon déshydrate, marjolaine 5%, paprika, basilio, poivre noir, huile de tournesol, antiagglomérant : dioxyde de silicium).",,milk;wheat_gluten;sesame,,DIRECT,YES,KEEP
00006910,Peanut Butter Filled Pretzel Nuggets,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), PEANUT BUTTER (ROASTED PEANUTS, SUGAR, SALT), CONTAINS 2% OR LESS OF SALT, PALM OIL, CORN SYRUP, L-CYSTEINE HYDROCHLORIDE, SODIUM HYDROXIDE. CONTAINS WHEAT, PEANUT.",peanut;wheat_gluten,peanut;wheat_gluten,,DIRECT,YES,KEEP
0001202312158,Spicy Szechuan Noodles,"White Cabbage, Brown Rice Noodles (8%) [Brown Rice Flour, Water], Pak Choi (8%), Red Onion, Edamame [Soya] (8%), Chestnut Mushroom (7%), Roasted _Peanuts_ (4%) [Peanuts, Rapeseed Oil, Salt], _Soya_ Mince [_Soya_ Flour, Colour: Caramel] (4%), Water, Tamari [_Soya_ Beans, Water, Salt, Alcohol], Tahini (4%) (_Sesame_), Spring Onion (4%), Garlic, Maple Syrup, Rice Wine Vinegar, Ginger, Red Pepper Flakes, Sunflower Oil, Porcini Mushroom Powder, _Sesame_ Oil (_Soya_), Chilli Flakes, Pepper, Szechuan Pepper (0.1%)",,peanut;soy;sesame,,DIRECT,YES,KEEP
00002199,Petit beurre tablette choco,"Chocolat au lait 48% (sucre, beurre et pâte de cacao, lait écrémé en poudre, lactose, matière grasse laitière anhydre, émulsifiant lécithines (tournesol), arôme), farine de blé, sucre, beurre concentré (soit 9% de beurre reconstitué), lait entier en poudre, poudres à lever : carbonates d'ammonium carbonates de sodium - diphosphates, sel. Peut contenir des traces de soja, de graines de sésame, d'eufs et de fruits à coque. VALEURS NUTRITIONNELLES ΜΟΥΕΝNES Pour 2 Biscuits (25g) Pour 100 g",,milk;wheat_gluten,soy;sesame;egg;tree_nut,BOTH,YES,KEEP
00000146,Batido nutricional / Nutricional Shake,"Soya protein isolate (40,8%), cookie crumbs (wheat flour (gluten), rice flour, oat flour (gluten), barley malt flour, sugar, cocoa, corn flour, salt, emulsifier (soya lecithin), fructose, inulin, oat fibre (gluten). polydextrose, soya oil thickeners (quar gum powde, santhan gum, carragenan, pectin), oat bran gluten), milk protein concentrate (1.9 %), flavourings (lactose), calcium citrate, dextrose, potassium phosphate, sodium chloride, anti-caking agent (silicon dioxide), sweeteners (sucralose, acesulfame-K), rapeseed oil, magnesium oxide, ginger root powder, L-ascorbic acid, ferrous fumarate, DL-alpha tocopheryl acetate, liquorice root powder, nicotinamide, papaya powder, zinc oxide, cupric gluconate, retinyl palmitate, D-calcium pantothenate, cholecalciferol, pyridoxine hydrochloride, cyanocobalamin, manganese carbonate, riboflavin, thiamin hydrochloride, ascorbyl palmitate, pteroylmonoglutamic acid, Dl-alpha tocopherol, potassium iodide, sodium selenite, D-biotin. CONTAINS GLUTEN, MILK AND SOYA. SOUTH AFRICA, LTD.",milk;soy;wheat_gluten,milk;soy;wheat_gluten,,DIRECT,YES,KEEP
00000680,Lomo ibérico de bellota,"enriched wheat flour (flour, malted alue barley flour, reduced iron, niacin, thiamin mononitrate owvitamin b1), riboflavin (vitamin b2), folic acidj, water, in whole wheat flour, sugar, yeast, wheat gluten, cellulose fiber, calcium sulfate, salt, soybean oil, preservatives (calcium propionate, sorbic acid), soy flour, monoglycerides, datem, citric acid, soy lecithin, vitamin d3, potassium iodate, grain vine - gar, monocalcium phosphate. contains wheat, soy. r17-212-202308 79423",,soy;wheat_gluten,,DIRECT,YES,KEEP
00000227,Bijou Caramel ChocoLait,"Farine de _blé_, fourrage lait et caramel 17% (sirop de glucose-fructose, _lait_ concentré sucré 20%*, stabilisant : glycérol, caramel 2.5%*, sel, arôme, gélifiant : pectines, conservateur : sorbate de potassium), huile de colza, _œufs_ frais, sucre, chocolat au lait 11% (sucre, beurre de cacao, poudre de _lait_ entier, pâte de cacao, émulsifiant : lécithines (_soja_), arôme), sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates (_blé_), sel, émulsifiants : mono et diglycérides d’acides gras, _lait_ écrémé en poudre, arôme. *% exprimés sur le fourrage équivalent respectivement à 3.4% et 0.4% sur l’ensemble du produit.",milk;egg;soy;wheat_gluten,milk;egg;soy;wheat_gluten,,DIRECT,YES,KEEP
00001240,Coop Croissant med Sjokolade 85g,"Hvetemel, smør (fløte (melk), melkesyrebakterier), fyll (sukker, vegetabilsk olje og fett (raps, shea, kokos), hasselnøtt, fettredusert kakaopulver, skummet melk, vegetabilsk emulgator (soyalecitin), aroma (vanilin)), vann, gjær sukker, dekor (kakaomasse, sukker, kakaosmør, melkefett, vegetabilsk emulgator (E 322 (soyalecitin)) egg, salt, hvetegluten, enzym, melbehandlingsmiddel (E 300)",,milk;egg;soy;wheat_gluten;tree_nut,,DIRECT,YES,KEEP
0001509202181,Michigan bread company,"unbleached hard spring wheat flour, malted barley flour, niacin, reduced 70 iron, thiamin riboflavin, folic acid, water, 1% sesame seeds, sugar, salt, 0% soybean oil, hydrogenated soybean oil, hydrogenated cottonseed oil, yeast, enzymes, calcium propionate 0% (preservative). 1 slice (28 g) mononitrate, % dally value 5% 4% 0%",,wheat_gluten;sesame;soy,,DIRECT,YES,KEEP
00010082,Reindeer Crunch,"Non-GMO Popcorn, Brown Sugar, Non-GMO Corn Syrup. Butter (Cream, Natural Flavor), Cashews, Walnuts, Pecans, Molasses, RBD Coconut Oil, Dark Chocolate (Sugar, Cacao, Cacao Butter), Sunflower Lecithin, Celtic Sea Salt, Sunflower Oil ALLERGY INFORMATION: Contains: Milk, Cashew, Walnut, Pecan. Manufactured in a facility that also processes: Egg, Wheat, Sesame, Peanuts, Soy, Almond and Coconut.",peanut;milk;egg;soy;wheat_gluten;sesame;tree_nut,milk;tree_nut,egg;wheat_gluten;peanut;soy,BOTH,YES,KEEP
0000200000015,Purée d'Amandes Blanches Grillées Bio,"Amandes blanches grillées* (100%) (*issu de l'agricul - ture biologique). Peut contenir des traces de fruits à coque, d'arachides et de graines de sésame. Ingredients: roasted white almonds* (100%) (*from organic farming). May contain traces of tree nuts, peanuts and sesame seeds. À consommer avant le : voir couvercle /To be consumed before: see the lid 10",peanut;sesame;tree_nut,tree_nut,peanut;sesame;tree_nut,BOTH,YES,KEEP
00002119,,"Chocolat au _lait_ 25% (sucre, beurre de cacao, _lait_ entier en poudre, pâte de cacao, émulsifiant : lécithines (_soja_), arôme naturel de vanille), _œufs_ 19.5%, sucre, noix de coco râpée 13%, _beurre_ concentré, poudre _d'amande_, farine de _blé_ 7%, sirop de glucose-fructose, stabilisant : glycérol, sel, arôme naturel de coco, poudres à lever : carbonates de sodium - citrate de sodium (_blé_). Peut contenir des traces de _fruits à coque_.",,milk;egg;soy;wheat_gluten;tree_nut,,DIRECT,YES,KEEP
00000051,Fondants Citron,"mûre bio 50% (fruit 27%, purée 23%) sucre de canne bio, gélifiant: pectine de fruits, traces éventuelle de fruit à coques",,,tree_nut,PRECAUTIONARY,YES,KEEP
00000459,Keto Pancake & Waffle mix,"ALMOND FLOUR,  OAT FIBER, WHEY PROTEIN, MODIFIED FOOD STARCH, POTASSIUM BITARTRATE, NATURAL MONK FRUIT EXTRACT POWDER, VANILLA FLAVOR, BAKING SODA, CINNAMON, SALT, XANTHAN GUM",milk;wheat_gluten;tree_nut,milk;tree_nut,,DIRECT,YES,KEEP
0002114016008,"Unseasoned bread crumbs, plain","Enriched flour (flour, malted barley, niacin, ferrous sulfate, thiamin mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), high fructose corn syrup, corn syrup, partially hydrogenated vegetable oil (soybean and/or cottonseed and/or corn and/or canola oils), water, salt. contains 2 percent or less of yeast, honey, molasses, sugar, wheat gluten, whey, soy flour, whole wheat flour, rye flour, corn flour, oat bran, oat flour, corn meal, rice flour, potato flour, butter, dough conditioners (mono - and diglycerides, sodium and/or calcium stearoyl lactylate, soy lecithin, calcium carbonate), yeast nutrients (ammonium sulfate, calcium sulfate, monocalcium phosphate), distilled vinegar, skim milk, buttermilk, lactic acid, calcium propionate (preservative), potassium sorbate (preservative), sesame seeds, sunflower seeds, eggs.",,milk;egg;soy;wheat_gluten;sesame,,DIRECT,YES,KEEP
00000055,Calcium,"Sucre, blanc d'œufs 19%, beurre concentré, chocolat noir 12.5% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant: lécithines (soja), arôme naturel de vanille), poudre d'amande 12%, farine de blé 11%, ceufs 5.5%, sirop de glucose-fructose, stabilisant : glycérol, cacao maigre en poudre, sel, arôme naturel de cacao. Peut contenir des traces d'autres fruits à coque.",milk;egg;soy;wheat_gluten,milk;egg;soy;wheat_gluten;tree_nut,,DIRECT,YES,KEEP
0001900014845,,"WHEAT flour, cherry tomatoes 31 5%, water, refined high cleic vegetable sunflower oil, extra virgin olive oil, yeast, salt, malt extract (BARLEY com). spices (rosemary, sage, laurel, fennel seeds, coriander seeds, oregano, pepper, parsley, garlic, marjoram in varying proportions), flavors. Contains GLUTEN. It may contain traces of MILK and milk products EGGS, NUTS, SOYA FISH SESAME seeds, MUSTARD.",,wheat_gluten,milk;egg;tree_nut;soy;sesame,BOTH,YES,KEEP
00000225,bijou cacao,"Ingnédients Farine de blé, sucre, huiles végétales (colza et tournesol), oeufs frais, sirop de glucose-fructose, stabilisant : glycérol, cacao maigre en poudre 1,9%, lait écrémé en poudre, pâte de cacao 0,8%, poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates (blé), noisette, lactose, émulsifiants: mono et diglycérides d'acides gras lécithines (soja), sel, arôme. Peut contenir des traces d'autres fruits à coque.",milk;egg;soy;wheat_gluten,milk;egg;soy;wheat_gluten;tree_nut,tree_nut,BOTH,YES,KEEP
0000705520537,,"Roggenmehl 47%, Weizenmehl 45%, getrockneter Sauerteig (Roggenmehl, natürlich fermentiert), jodiertes Speisesalz (Speisesalz, Kaliumjodat), Trockenhefe 2%, Traubenzucker, Gerstenmalzmehl, Säuerungsmittel (Äpfelsäure) Malzextrakt (Gerste, Roggen), Mehlbehand - lungsmittel (Ascorbinsäure). Kann Spuren von Milch, Ei, Sesam, Soja und Lupinen enthalten. Durchschnittliche Nährwerte Energie Fett",,wheat_gluten,milk;egg;sesame;soy,BOTH,YES,KEEP
00001253,Coop Smultringer 43g,"Hvetemel, sukker, egg, vann, fløte, vegetabilsk olje (soyaolje, palmeolje, kokosolje, palmestearin, rapsolje),  mysepulver, syrnet kjernemelkpulver, skummet tørrmelk, yoghurtaroma, melkesyrepulver, konserveringsmiddel (E 1520, E 281), bakepulver, hornsalt, kardemomme, aroma, emulgator (E 471), surhetsregulerende middel (E 331).",,milk;egg;soy;wheat_gluten,,DIRECT,YES,KEEP
0002000010775,Escalope soja et blé,"Protéines de soja et de blé réhydratées, Eau, Chapelure (farine de blé, eau, huile de colza, levure, sel épices (pa rika curcuma)) ; Huiles végétales (tournesol colza), BIPanc d'œuf* en poudre, Amidon de maïs, Fi6res d'agrumes, Extrait de levure, Farine de blé, Epices (oignon en poudre, paprika, piment rouge, ail deshydraté cumin, origan) ; Concentré de tomates, Vinaigre, Sel, Ail, Jaune d'œuf*, Sel iodé, Moutarde, Sucre, (*Poules élevées au sol,) Peut contenir : sésame, céleri,",,soy;wheat_gluten;egg,sesame,BOTH,YES,KEEP
00001004,Concha,"Hartweizengrieß, Frischei (10 %) * &quot;Eler aus Bodenhaltung Kann Spuren von Soja enthalten. Oko DX Ungekocht Energie DURCHSCHNITTLICHE MAHRWERTE pro 100g Fett",,egg;wheat_gluten,soy,BOTH,YES,KEEP
00001100,Cigarettes Fourrées Chocolat Noisettes,"Fourrage chocolat noisette 55% (chocolat en poudre 44.5%* (sucre, cacao en poudre), graisses de coprah et de palmiste, sucre,_noisette_7,5%';, _lait_écrémé en poudre, émulsifiant : lécithines (_soja_), arôme), farine de blé, sucre, fructose,_lait_écrémé en poudre, graisse de coprah, colorant: caramel ordinaire, émulsifiant: lécithines (_soja_), sel.  *exprimés sur le fourrage équivalent respectivement à 24,4% et 4,1% sur l'ensemble du produit.",,milk;soy;wheat_gluten;tree_nut,,DIRECT,YES,KEEP
00021065,Sächsischer Christstollen,"WEIZENMEHL, Sultaninen, Margarine (Palmfett, Wasser, Rapsöl, Emulgatoren Mono - und Diglyceride von Speisefettsäuren und Sonnenblumenlecithine, Säuerungsmittel Citronensäure), Orangeat / Zitronat (Orangen - und Zitronenschalen, Glukose-Fruktosesirup, Zucker, Salz, Säuerungsmittel Citronensäure), Wasser, Zucker, Hefe, MANDELN, Backmittel (SÜSSMOLKENPULVER, MAGERMILCHPULVER, Palmfett, Glukosesirup, MILCHEIWEISS, Mehlbehandlungsmittel Ascorbinsäure), Rum, Salz, Aromen (enthält SOJA, MANDELN), Kokosfett, Dekor: Dekorzucker (Traubenzucker, WEIZENSTÄRKE, Palmfett, natürliches Aroma), BUTTERFETT mit Aroma Vanillin, Zucker, natürliches Vanillearoma. Kann Spuren von SESAM, ERDNÜSSEN, anderen SCHALENFRÜCHTEN und EIPRODUKTEN enthalten.",,milk;soy;wheat_gluten;tree_nut,sesame;peanut;egg,BOTH,YES,KEEP
0000200003145,ked e use carefully ty ingredients never fried...,"Potato Flakes, Starch, Rapeseed Oil, Sugar, Emulsifi (Lecithins), Sea Salt Seasoning Sea Salt, Salt, Flavourings), Sunflower Oil, Colour (Annatto Norbixin) ALLERGY ADVICE MAY CONTAIN: MILK, MUSTARD, SOYA WHEAT AND OTHER CEREALS CONTAINING GLUTEN n for More",,,milk;soy;wheat_gluten,PRECAUTIONARY,YES,KEEP
00002155,Madeleines Bijou,"Farine de_blé_, chocolat au_lait_18% (sucre, beurre de cacao, poudre de_lait_entier, pâte de cacao, émulsifiant : lécithines (_soja_), arômes), huile de colza, _œufs_ frais 14%, sucre, poudre de _noisette_6%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates (_blé_), arôme, émulsifiants : mono et diglycérides d'acides gras, sel,_lait_écrémé en poudre.",,egg;milk;soy;wheat_gluten;tree_nut,,DIRECT,YES,KEEP
0000802805391,,"je wil weten over onze Toast met rozemarijn We hebben alles op een rijtje gezet wat Dit Ingrediënten: TARWEbloem, zonnebloemolie, moutextract (GERST, maïs), zout, rozemarijn 2,3%, gist. Als je ergens niet tegen kan Allergenen: tarwe en gerst (gluten). Kan bevatten: soja, melk en sesam. Gemiddelde voedingswaarde per 100 g kJ 1787 kcal 425 Energie Vetten 11,9 g waarvan verzadigde vetzuren 1,3 g Koolhydraten 66,3 g waarvan suikers Vezels Eiwitten per 30 g kl 536 kcal 127 3,6 g 0,4 g 19,9 g 1,0 g 1,2 g 11,0 g 3,3 g 7% Zout 2,40 g 0,72 g 12% *RI= Referentie-inname van een gemiddelde volwassene (8.400 kl/2.000 kcal). Deze verpakking bevat 5 porties. Hoe zit het met de houdbaarheid? 3,2g 4,1g Ten minste houdbaar tot en met: zie achterzijde. Bewaaradvies: koel en droog bewaren. BI RESTAFVAL We zijn er voor je Consumentenservice: Jumbo Supermarkten B.V. Antwoordnummer 10072, 5460 VB Veghel Nederland, Jumbo.com To gool je de verpakking weg VERPAKKING RI 6% 5% 2% 8% 19% 150g e",,wheat_gluten,soy;milk;sesame,BOTH,YES,KEEP
0000281756504,"Piasten, Chocolate Assortment","Sugar, wheat starch, glucose syrup, whole soya flour, milk sugar, vegetable fat, cocoa butter, cocoa mass, whole milk powder, caramel sugar syrup, dextrose, peanuts, hazelnuts, glucose fructose syrup, vegetable oil, emulsifier: lecithins, humectant: invertase, rice flour, flavouring, orange peel, acidity regulator: citric acid, egg powder, cocoa solids: milk chocolate: cocoa solids 25% min., milk solids 14% min.; chocolate: cocoa solids 35% min.",peanut;milk;egg;soy;wheat_gluten;tree_nut,peanut;milk;egg;soy;wheat_gluten;tree_nut,,DIRECT,YES,KEEP
