code,product_name,ingredients_text,decision,risk_level,user_allergies,user_confirmed_allergens,user_potential_allergens,model_confirmed_allergens,model_potential_allergens,explanation
0001121325632,"Cashews, salted",,NOT SUITABLE,CONFIRMED,peanut,peanut,,Peanut; Tree nuts,,The product is not suitable because the model detected the confirmed allergen(s): Peanut. Direct ingredient evidence: peanut -> peanut.
0001116103494,Whole roasted cashews,,NOT SUITABLE,CONFIRMED,peanut,peanut,,Peanut; Soy; Tree nuts,,The product is not suitable because the model detected the confirmed allergen(s): Peanut. Direct ingredient evidence: peanut -> peanut.
0000380102109,Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,,NOT SUITABLE,CONFIRMED,peanut,peanut,,Milk; Peanut; Tree nuts,,The product is not suitable because the model detected the confirmed allergen(s): Peanut. Direct ingredient evidence: peanuts -> peanut.
00001403,Sablés Coco Lait,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Milk; Soy; Tree nuts; Wheat/Gluten,Sesame,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
0000192495165,Dessert végétal à l'amande et au chocolat et à la noisette,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Milk; Tree nuts,,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
0000252828288,Chick-fil-A nuggets,,NOT SUITABLE,CONFIRMED,peanut,peanut,,Egg; Milk; Peanut; Soy; Wheat/Gluten,,The product is not suitable because the model detected the confirmed allergen(s): Peanut. Direct ingredient evidence: peanut -> peanut; peanut oil -> peanut.
0000105748562,,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Wheat/Gluten,Egg,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
0001000657163,Tortellini Ricotta Epinard,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Milk; Tree nuts; Wheat/Gluten,,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
00000024,Croccante con pistacchi e miele,,NOT SUITABLE,CONFIRMED,peanut,peanut,,Peanut; Sesame; Tree nuts; Wheat/Gluten,,The product is not suitable because the model detected the confirmed allergen(s): Peanut. Direct ingredient evidence: cacahuetes -> peanut.
00000224,madeleine Bijou ChocoPépites,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Egg; Wheat/Gluten,Milk; Soy; Tree nuts,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
00000550,Krautsalat,,NOT SUITABLE,CONFIRMED,peanut,peanut,,Peanut; Sesame; Tree nuts; Wheat/Gluten,,The product is not suitable because the model detected the confirmed allergen(s): Peanut. Direct ingredient evidence: cacahuetes -> peanut.
0002000012670,,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Milk; Sesame; Soy; Wheat/Gluten,,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
0001110843432,"Mixed Nuts, Salted",,NOT SUITABLE,CONFIRMED,peanut,peanut,,Peanut; Tree nuts,,The product is not suitable because the model detected the confirmed allergen(s): Peanut. Direct ingredient evidence: peanut -> peanut; peanut oil -> peanut; peanuts -> peanut.
0001757016092,Finest Milk Chocolate,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Milk; Soy; Tree nuts,,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
0000112407510,velouté de cresson.,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Milk,Wheat/Gluten,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
000000000063,M&amp;M white,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,,,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
