code,product_name,ingredients_text,allergens,allergens_en,additives_en,confirmed_allergens,potential_allergens,evidence_level,evidence_text,is_food,review_status
0000210320102,Dutch chocolate,"PROTEIN BLEND (SOY PROTEIN ISOLATE, WHEY PROTE ISOLATE, PEA PROTEIN), CRYSTALLINE FRUCTOSE, HIGH OLEIC SUNFLOWER OL MALTODEXTRIN, DUTCHED COCOA, SOY FIBER, CANE FIBER, NATURAL FLAVORS (CHOCOLATE), THICKENER (GUM ARABIC), OLIGOFRUCTOSE POWDER POTASSIUM PHOSPHATE, PRUNE POWDER, CALCIUM CARBONATE SODIUM CASEINATE, THICKENER (CELLULOSE GUM), SALT, THOBER (XANTHAN GUM), INULIN, EMULSIFIER (SOY LECITHIN), ANTICAKING AGENT (SILICON DIOXIDE), ANTIOXIDANT (NATURAL TOCOPHEROLS), MAGNESIUM OXIDE, ZINC GLUCONATE,ASCORBIC ACID (VITAMIN C), FERROUS FUMERATE (RON). POTASSIUM IODIDE, D-ALPHA-TOCOPHERYL ACETATE (MITAMINE NACINAMIDE, VITAMIN A PALMITATE, CHOLECALCIFEROL (VITAMIN D FOLIC ACID, RIBOFLAVIN (VITAMIN B2), PYRIDOXINE HYDROCHLORIDE (MITAMIN B6), THIAMIN HYDROCHLORIDE (VITAMIN B1), CYANOCOBALAMIN (MITAMIN B12). CONTAINS: SOYBEAN AND MILK. PRODUCED ON EQUIPMENT THAT ALSO PROCESSES PEANUTS, TREE NUTS, EGGS, WHEAT SESAME AND SHELLFISH FOR OUR CUSTOMERS SENSITIVE TO GLUTEN: NO GLUTEN-CONTAIN NUTRIMEAL IS PRODUCED IN A FACILITY THAT MANUFACTURES OTHER INGREDIENTS ARE USED IN THIS PRODUCT. HOWEVER DUTCH CHOCOLATE FOODS THAT DO CONTAIN GLUTEN. NUTR Du D",,,"E306 - Tocopherol-rich extract,E322 - Lecithins,E322i - Lecithin,E340 - Potassium phosphates,E414 - Acacia gum,E415 - Xanthan gum,E466 - Sodium carboxy methyl cellulose,E551 - Silicon dioxide",,,,,,PENDING
00002171,Organic Vegan Protein Shake Mix,"Organic Plant Protein Blend (Organic Pea, Organic Pumpkin, Organic Coconut & Organic Sunflower), Organic Fruit Blend (Organic Date, Organic Banan: & Organic Baobab), Organic Agave Fiber, Organic Pea Starch, Flax Seed Fiber, 120 Organic Cocoa (Alkalised), Natural Flavors % Daily Value* 3% Probiotics & Digestive Enzyme Blend (Bacillus Coagulans, Amylase, Protease, Cellulase, Lactase & Lipase), Organic Monkfruit Extract, Milled Flax Seeds Organic Cinnamon Ceylon, Organic Turmeric. 0% Trans Fat 0g Cholesterol Omg 0% Contains: Coconut. Made in a facility Sodium 240mg 10% that uses peanuts, tree nuts & sesame Total Carbohydrate 11g 4% - may contain traces. Dietary Fiber 5g 18% Made in Ireland by Wyldsson Ltd., Total Sugars 3g Snowdrop, Dublin 22, Ireland. Includes Og Added Sugars 0% Certified Organic by Irish Organic Protein 20g 27% Association (IOA). Calcium 16mg 2% Iron 6mg 30% Potassium 135mg 4% Magnesium 50mg 10% No salt added but this is not a sodium free food. Suggested daily serving size: 35g. We believe in a varied, balanced diet. Zinc 3mg 20% Not a significant source of Vitamin D The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice. X002C1C71V EarthChimp Organic Veg...ee, Gum Free (Vanilla) New SPREAD 10",,,"E1100 - Alpha-Amylase,E1101 - Protease,E1104 - Lipase,E406 - Agar",,,,,,PENDING
0000231312345,yogurt,"milk, strawberry, gluten,  eggs, peanuts",,,,,,,,,PENDING
0000252828288,Chick-fil-A nuggets,"chicken (boneless, skinless chicken breast meat nuggets, salt, monosodium glutamate, sugar, spices, paprika, enriched bleached flour [with malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, salt, monosodium glutamate, nonfat milk, leavening [baking soda, sodium aluminum phosphate, monocalcium phosphate], spice, soybean oil, color [paprika], pasteurized nonfat milk, pasteurized egg, fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent}  added])",,,"E341 - Calcium phosphates,E341i - Monocalcium phosphate,E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate,E541 - Sodium aluminium phosphate,E621 - Monosodium glutamate,E900 - Dimethylpolysiloxane and Methylphenylpolysiloxane,E900a - Dimethyl polysiloxane",,,,,,PENDING
0000281756504,"Piasten, Chocolate Assortment","Sugar, wheat starch, glucose syrup, whole soya flour, milk sugar, vegetable fat, cocoa butter, cocoa mass, whole milk powder, caramel sugar syrup, dextrose, peanuts, hazelnuts, glucose fructose syrup, vegetable oil, emulsifier: lecithins, humectant: invertase, rice flour, flavouring, orange peel, acidity regulator: citric acid, egg powder, cocoa solids: milk chocolate: cocoa solids 25% min., milk solids 14% min.; chocolate: cocoa solids 35% min.",,,"E1103 - Invertase,E322 - Lecithins,E330 - Citric acid",,,,,,PENDING
0000380102109,Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,"Milk protein isolate, Whey protein cocoa crisps (whey protein isolate, whey protein concentrate, tapioca starch, Dutch cocoa powder, calcium carbonate, sunflower lecithin), Fructooligosaccharides, Glycerin, Polydextrose (3.5 g per serving of 61 g), Sugars (tapioca syrup, sugar), Maltodextrin (tapioca fibre), Modified palm kernel oil, Natural flavours, Almond butter, Whey protein isolate, Water, Sunflower oil, Chocolate liquor, Cocoa butter, Cocoa powder, Sunflower lecithin, Vegetable extract blend (broccoli, spinach, kale, squash, sweet potato, sunflower seed, cranberry, chlorella, maitake mushroom), Salt, Cream, Acacia gum, Carrageenan, Stevia leaf extract, Tocopherols, Peanuts","en:milk,en:nuts,en:peanuts",,"E1200 - Polydextrose,E322 - Lecithins,E322i - Lecithin,E407 - Carrageenan,E414 - Acacia gum,E422 - Glycerol,E960 - Steviol glycosides",,,,,,PENDING
00004221,100% Grass-fed Whey Protein Isolate,"Grass-Fed Whey Protein Isolate, Peanut Flour, Cocoa Powder, Natural Chocolate Flavor, Salt, Stevia Extract, Sunflower Lecithin",,,"E322 - Lecithins,E322i - Lecithin",,,,,,PENDING
0000433821500,The Best Peanut Butter Cookies,"ONLY THE BEST: UN-BLEACHED FLOUR, 100% ORGANIC PEANUT BUTTER, PEANUTS, CREAMERY BUTTER, UN-REFINED SUGAR, WHOLE EGG.",,,,,,,,,PENDING
00004559,Peanuts,"PEANUTS, WHEAT FLOUR, SUGAR, RICE FLOUR, TAPIOCA STARCH, SALT, LEAVENING (AMMONIUM BICARBONATE, BAKING SODA), SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT), POTATO STARCH.",,,"E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate,E503 - Ammonium carbonates,E503ii - Ammonium hydrogen carbonate",,,,,,PENDING
00004902,pearl milling company maple pancake on the go,"FARBY SPRUDELND DAS WASSER COLORE LEAU DURAN BOULONNANT EYERVESCENTE, COLORANDOUA DEL BAGNO Pawning Buks mon Fonge Cire ories PARA POR at Sg ated Fat 2.5g Fat Og unsaturated Fat 3g unsaturated Fat 2.5g sterol Omg um 180mg al Carbohydrate 17g Dietary Fiber 19 Total Sugars 1g Includes Og Added Sugars Protein 2g Vitamin D Omcg Calcium 13mg Iron Omg Potassium 173mg FACTURED AND DISTRIBUTED BY: EL USA LLC SOUTH NORTHPOINT, SUITE 100, PPELL TX, 75019, USA www.takis.us BARCEL 150 Dally Value 10% 13% A COMPANY OF GRUPO BIMBO 0% 8% 6% 4% 0% The Day Vue tes you how much & nunt in a serving of food contribute to a daily diet 2,000 calories a day is used for general ution advice 0% 2% INGREDIENTS CORN FLOUR (PROCESSED WITH LIME), VEGETABLE OIL (PALM AND/OR SOYBEAN AND/OR CANOLA OLS SEASONING (MALTODEXTRIN, CITRIC ACID, SUGAR, POTASSIUM CHLORIDE, SALT, MONOSODIUM GLUTAMATE, HOROLYZED SOYBEAN PROTEIN, NATURAL AND ARTIFICIAL BARS, HYDROLYZED YEAST, SOYBEAN OIL, ONION POWDER, LAKE, SODIUM BICARBONATE, CHILI PEPPER (CHILE). AINOSINATE, DISODIUM GUANYLATE, TBHQ RESERVATIVEN CONTAINS SOY MADE IN A FACILITY THAT MAY ALSO USE MILK, EGG, HEAT AND PEANUTS 0% 4% smartabel Scan here for more food information or call 1-800-432-8266 CO●●●●●●●●● OO Takis Takis OTE FOLLOW US ON o Y TAKIS USA Q TERRACYCLE GUARANTEED FRESH UNTIL PRINTED DATE Questions or comments 1-800-354-3372 Weekdays 8:00 am to 8:00 pm EST essed Please provide pro name, bag size d price and numbers found on the bag for a 57528 04811&quot; 2 BL.A.057018822 d nong",,,"E330 - Citric acid,E621 - Monosodium glutamate,E627 - Disodium guanylate",,,,,,PENDING
0000500000050,Smuckers Natural Peanut Butter,"PEANUTS, CONTAINS 1% OR LESS OF SALT.",,,,,,,,,PENDING
0000600020002,Orange drink mix,"Hydrolyzed gelatin, whey protein concentrate (milk), fructooligosaccharide, citric acid, natural flavors, color (turmeric extract, beet juice color, beta-carotene), orange juice powder (orange juice solids, maltodextrin), potassium citrate monohydrate, silicon dioxide (anti-caking agent), soy lecithin, sucralose (non-nutritive sweetener). Manufactured in a facility that also processes wheat, eggs, peanuts, and tree nuts.",en:milk,,"E100 - Curcumin,E160a - Carotene,E160ai - Beta-carotene,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E428 - Gelatine,E955 - Sucralose",,,,,,PENDING
0000609154005,Madeline chocolate advent,"milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin - an emulsifier, vanillin - an artificial flavor) contains: milk, soy manufactured on equipment that processes peanuts and tree nuts (almonds, pecans, cashews and hazelnuts). d",,,"E322 - Lecithins,E322i - Lecithin",,,,,,PENDING
0000609983810,Hatchers peanut butter filled milk chocolate,"Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin-an emulsifier, vanilla-an artificial flavor). peanut butter center: peanut butter (peanuts, salt, partially hydrogenated palm oil), sugar, palm kernel oil, partially defatted peanut flour, nonfat milk, partially hydrogenated palm oil, salt, soy lecithin (an emulsifier), tbhq and citric acid to protect freshness).","en:milk,en:peanuts",,"E322 - Lecithins,E322i - Lecithin",,,,,,PENDING
00006910,Peanut Butter Filled Pretzel Nuggets,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), PEANUT BUTTER (ROASTED PEANUTS, SUGAR, SALT), CONTAINS 2% OR LESS OF SALT, PALM OIL, CORN SYRUP, L-CYSTEINE HYDROCHLORIDE, SODIUM HYDROXIDE. CONTAINS WHEAT, PEANUT.",,,,,,,,,PENDING
0000790430018,"Welch's, pb&j trail mix, grape","Peanuts flavored dried cranberries (cranberries, sugar, sunflower oil, natural flavor), peanut flavored coating dried cane syrup, palm kernel oil, partially defatted peanut flour, whey powder [milk], salt, soy lecithin [an emulsifier], yogurt flavored coating (sugar, palm kernel oil and/or palm oil, nonfat dry milk, whey powder, nonfat yogurt powder [cultured whey, nonfat milk], titanium dioxide [color], soy lecithin [an emulsifier], lactic acid, vanilla), sugar, corn oil, salt, coloring (includes vegetable juice), tapioca dextrin, honey, gum arabic, natural flavors, corn syrup, confectioner's glaze.",en:milk,,"E1400 - Dextrin,E171 - Titanium dioxide,E270 - Lactic acid,E322 - Lecithins,E322i - Lecithin,E414 - Acacia gum",,,,,,PENDING
0000790430063,"Welch's, pb & j trail mix, strawberry","Peanuts, strawberry flavored dried cranberries (cranberries, sugar, natural flavors, citric acid, sunflower oil, elderberry juice concentrate [color]), peanut flavored coating (dried cane syrup, palm kernel oil, partially defatted peanut flour, whey powder [milk], salt, soy lecithin [an emulsifier]), yogurt flavored coating (sugar, palm kernel oil and/or palm oil, nonfat dry milk, whey powder, nonfat yogurt powder [cultured whey, nonfat milk], titanium dioxide [color], soy lecithin [an emulsifier], lactic acid, vanilla), sugar, corn oil, salt, coloring (includes beet juice beta carotene, beet juice concentrate), tapioca dextrin, honey, gum arabic, corn syrup, natural flavors, confectioner's glaze.",en:milk,,"E1400 - Dextrin,E160a - Carotene,E160ai - Beta-carotene,E171 - Titanium dioxide,E270 - Lactic acid,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E414 - Acacia gum",,,,,,PENDING
0000790430070,"Welch's, pb&j trail mix, grape","Peanuts, flavored dried cranberries (cranberries, sugar, sunflower oil, natural flavor). peanut flavored coating (dried cane syrup, palm kernel oil, partially defatted peanut flour, whey powder [milk], salt, soy lecithin [an emulsifier], yogurt flavored coating (sugar, palm kernel oil and/or palm oil, nonfat dry milk, whey powder, nonfat yogurt powder [cultured whey, nonfat milk], titanium dioxide [color], soy lecithin [an emulsifier], lactic acid, vanilla), sugar, corn oil, salt, coloring (includes vegetable juice), tapioca dextrin, honey, gum arabic, natural flavors, corn syrup, confectioner's glaze.",en:milk,,"E1400 - Dextrin,E171 - Titanium dioxide,E270 - Lactic acid,E322 - Lecithins,E322i - Lecithin,E414 - Acacia gum",,,,,,PENDING
0000790870043,Skippy wafer bar,"peanut butter (roasted peanuts, sugar, hydrogenated vegetable oil (cottonseed, soybean and rapeseed oil) to prevent separation, salt), wheat wafers (pastry flour, soybean oil, sodium bicarbonate), peanut flour, palm oil, sugar, milk chocolate compound coating (sugar, vegetable oil [palm kernel oil and hydrogenated palm kernel oil], cocoa powder, nonfat dry milk, whole milk powder, whey powder, soy lecithin [an emulsifier], salt, artificial flavor), corn starch, salt. contains milk, peanut, soy, wheat.","en:gluten,en:milk,en:peanuts,en:soybeans",,"E322 - Lecithins,E322i - Lecithin,E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate",,,,,,PENDING
0000790870517,Peanut butter chocolate mini wafer bars,"Peanut butter, roasted peanuts, sugar, hydrogenated vegetable oil (cottonseed oil, soybean oil, rapeseed oil), salt, wheat wafers (pastry flour, soybean oil, sodium bicarbonate), peanut flour, palm oil, milk chocolate compound coating (sugar, vegetable oil [palm kernel oil, hydrogenated palm kernel oil], cocoa powder, nonfat dry milk, whole milk powder, whey powder, soy lecithin [an emulsifier], artificial flavor), corn starch, salt.",,,"E322 - Lecithins,E322i - Lecithin,E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate",,,,,,PENDING
0000943627129,Gingerbread Mini Nut Bars,"&quot;The % Daily Value (DV) tells you how mucha nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice, INGREDIENTS: PEANUTS, INULIN, ALMONDS, YOGURT FLAVORED COATING (SUGAR, PALM KERNEL OIL, WHEY, NONFAT DRY MILK, YOGURT POWDER (NONFAT MILK, LACTIC ACID), SOY LECITHIN, VANILLA), CASHEWS, RICE FLOUR, MOLÄSSES, HONEY, BROWN RICE SYRUP. NATURAL FLAVORS, SPICE BLEND, SEA SALT, SOY LECITHIN, SUGAR. CONTAINS MILK, ALMONDS, CASHEWS, PEANUTS AND SOY, MAY CONTAIN EGGS AND TREE NUTS. DISTRIBUTED BY: Walmart lnc. Bentonville, AR 72716 PRODUCT OF CANADA MAY CONTAIN AN OCCASIONAL STEM OR SHELL FRAGMENT.",en:peanuts,,"E270 - Lactic acid,E322 - Lecithins,E322i - Lecithin",,,,,,PENDING
0000987500001,Tofu Nature Bio,"Soja* (min. 54%), eau, coagulant (chlorure de magnésium) (*issu de l'agriculture biologique). Peut contenir des races de céréales contenant du gluten, cacahuètes, fruits à coque, éleri, graines de moutarde et graines de sésame. conserver à température","en:celery,en:gluten,en:mustard,en:nuts,en:peanuts,en:sesame-seeds,en:soybeans",,,,,,,,PENDING
0001000712260,Pindakaas,"PINDA 90%, suiker, PINDAolie, geheel geharde palmolie, zout.",en:peanuts,,,,,,,,PENDING
0001003676718,,"WHEAT flour, sugar, vegetable oil (palm, rapeseed, sunflower, cottonseed), corn starch, glucose syrup, salt, raising agents (E 503, E 450, E 500), emulsifier (SOY lecithin), flavourings, colourings (E 160a). May contain traces of eggs, peanuts, milk, hazelnuts, pistachios, sesame seeds, sulphites.",,,"E160a - Carotene,E322 - Lecithins,E322i - Lecithin,E450 - Diphosphates,E500 - Sodium carbonates,E503 - Ammonium carbonates",,,,,,PENDING
0001005400031,cocoa powder,"Cocoa Powder, Synthetic Flavour. Manufactured on shared equipment that processes Peanuts, Tree Nuts, Milk, Soy and Wheat.",,,,,,,,,PENDING
00010082,Reindeer Crunch,"Non-GMO Popcorn, Brown Sugar, Non-GMO Corn Syrup. Butter (Cream, Natural Flavor), Cashews, Walnuts, Pecans, Molasses, RBD Coconut Oil, Dark Chocolate (Sugar, Cacao, Cacao Butter), Sunflower Lecithin, Celtic Sea Salt, Sunflower Oil ALLERGY INFORMATION: Contains: Milk, Cashew, Walnut, Pecan. Manufactured in a facility that also processes: Egg, Wheat, Sesame, Peanuts, Soy, Almond and Coconut.",en:eggs,,"E322 - Lecithins,E322i - Lecithin",,,,,,PENDING
0001110843432,"Mixed Nuts, Salted","Blanched and unblanched peanuts, cashews, almonds, brazil nuts, hazelnuts, pecans, peanut oil and/or canola oil and/or cottonseed oil, sea salt.",,,,,,,,,PENDING
0001115314830,"Peanut butter, creamy","Dry roasted peanuts, sugar, hydrogenated rapeseed oil, salt.",,,,,,,,,PENDING
0001115314832,Chunky peanut butter,"Dry roasted peanuts, sugar, hydrogenated rapeseed oil, salt.",,,,,,,,,PENDING
0001115314855,"Peanut spread, creamy","Roasted peanuts, corn syrup solids, pea protein, sugar salt, hydrogenated rapeseed oil, minerals: (magnesium oxide, zinc oxide, ferric orthophosphate, copper gluconate) and vitamins: (niacinamide, folic acid, pyridoxine hydrochloride [vitamin b6]).",,,,,,,,,PENDING
0001116103494,Whole roasted cashews,"Cashews, vegetable oil (peanut, cottonseed, soybean and/or sunflower seed), sea salt.",,,,,,,,,PENDING
0001121301765,Chocolate covered peanuts,"Milk chocolate (sugar, cocoa butter, milk, chocolate liquor, soy lecithin [an emulsifier], vanilla), peanuts.","en:milk,en:peanuts",,"E322 - Lecithins,E322i - Lecithin",,,,,,PENDING
0001121303141,Crunchy Peanut Butter,"Peanuts, sugar, hydrogenated vegetable oil (rapeseed, cottonseed, soybean), salt, molasses.",,,,,,,,,PENDING
0001121303143,"Peanut butter spread with honey, creamy","Peanut butter (peanuts, sugar, hydrogenated vegetable oils [rapeseed, cottonseed, soybean], salt), sugar, honey.",,,,,,,,,PENDING
0001121303273,"Roasted peanuts, honey","Peanuts, sugar, honey, peanut oil, potato starch, maltodextrin, salt, xanthan gum.",en:peanuts,,E415 - Xanthan gum,,,,,,PENDING
0001121303276,Spicy sweet mix,"Cajun crunch mix (rice cracker chili bits [water, soybean, wheat, sea salt], sugar, chili starch, artificial coloring [yellow 5, yellow 6], peanuts, seasoning [paprika, thyme, spices, onion, garlic and less than 2% silicon dioxide to prevent caking], sunflower oil, cheddar sesame sticks, hot and spicy sesame sticks [unbleached wheat flour {contains malted barley flour as a natural enzyme additive}, soybean oil, sesame seeds, ground bulgur wheat, pepper sauce seasoning {tomato powder, corn flour, maltodextrin, onion powder, sour cream powder {cream, cultured buttermilk, reduced lactose whey, nonfat milk, natural flavor, autolyzed yeast, sodium citrate, sour cream cultures}, monosodium glutamate, green bell pepper powder, garlic powder, pepper sauce powder {aged red peppers, vinegar}, jalapeno pepper powder, chili pepper}, cheese powder {cheddar cheese {cultured milk, enzymes}, whey protein concentrate, lactose, buttermilk solids, annatto extract}, salt, beet powder {color}, turmeric {color}, annatto {color}, citric acid], sunflower seeds, pumpkin seeds), honey roasted peanuts (peanuts, sugar, honey vegetable oil [peanut, cottonseed, soybean and/or sunflower seed], salt, modified food starch [potato], maltodextrin and xanthan gum), honey roasted sesame sticks (flour [wheat flour, malted barley flour], partially hydrogenated vegetable oil [soybean, cottonseed], sesame seeds, sugar, bulgur wheat, vegetable oil [peanut, cottonseed, soybean and/or sunflower seed], honey, contains less than 2% of the following: salt, modified potato starch, soy protein concentrate, soy flour, maltodextrin, turmeric and beet powder [color], xanthan gum).","en:gluten,en:milk,en:peanuts,en:sesame-seeds,en:soybeans",,"E102 - Tartrazine,E110 - Sunset yellow FCF,E160b - Annatto,E330 - Citric acid,E331 - Sodium citrates,E415 - Xanthan gum,E621 - Monosodium glutamate",,,,,,PENDING
