code,product_name,ingredients_text,allergens,allergens_en,additives_en,candidate_category,confirmed_allergens,potential_allergens,evidence_level,is_food,review_status
0001143155625,Nankhatai traditional indian cookies,"Wheat flour (50%), sugar (21%), hydrogenated vegetable oil (contains one or more of the following: sesame oil, soybean oil, palm oil), cardamom, nutmeg, sodium bicarbonate, butylated hydroxyanisole (e320), salt.",en:gluten,,"E320 - Butylated hydroxyanisole (bha),E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate",,wheat_gluten,sesame,BOTH,YES,KEEP
00003991,Poudre de cacao,"Poudre de cacao biologique Peut contenir : Noix, Graines de sésame",,,,,,tree_nut;sesame,PRECAUTIONARY,YES,KEEP
0001505501180,miso ramen,"RAMEN NOODLES: WHEAT FLOUR, SHORTENING OIL, TAPIOCA STARCH, POTATO STARCH, SALT, SODIUM HEXAMETAPHOSPHATE, SODIUM HYDROGEN CARBONATE, MIXED TOCOPHEROL, GUAR GUM, AND RIBOFLAVIN. SOUP SAUCE RED MISO WATER SOYBEAN RICE, AND SALT), WATER, SOYBEAN OIL, MALTODEXTRIN, SALT, YEAST EXTRACT, KELP POWDER (DEXTRIN, KELP BROTH, AND KELP EXTRACT), SUGAR SOY SAUCE POWDER ASOY SAUCE SOYBEAN, SALT AND ALCOHOL], DEXTRIN, AND SALT)*, SHALLOT*, WHITE RADISH*, TUNA POWDER (TUNA, MALTODEXTRIN, SALT, AND SUGAR), ONION, GARLIC, SODIUM LACTATE, SODIUM ACETATE, CARAMEL POWDER, DISODIUM INOSINATE AND DISODIUM GUANYLATE, POTASSIUM CHLORIDE, GINGER XANTHAN GUM, SESAME OIL, AND CITRIC ACID. VEGETABLE: CARROT*, CORN*, GREEN ONION* AND SESAME. CHILI OIL PACK: SOYBEAN OIL, GINGER, CHILI OIL. CONTAINS: SOY, WHEAT, SESAME, AND FISH (TUNA). MANUFACTURED IN A FACILITY THAT PROCESSES SOY, WHEAT, AND FISH. *DRIED COOKING INSTRUCTIONS RETTLE AND ENJOY! 4. ADD THE FLAVORING OIL, STIR WELL THE PACKETS. 1. OPEN THE LID HALFWAY AND RENOIE CLOSE THE LID AND WAIT 3 MINUTES 3. ADD HOT WATER TO THE FILL LINE PACKETS (WAIT ON THE FLAVOR OIL. 2. ADD THE VEGGIES AND SEASONING een MICROWAVE on oven wattage. THE PACKETS. 1. OPEN THE LID HALFWAY AND REFUTE HIGH FOR 2 MINUTES AND MICROWAVE † Microwave cook times may vary depe 3. ADD COOL WATER TO THE FILE 2. ADD THE VEGGIES AND SEASONING PACKETS (WAIT ON THE FLAVOR OIL, STIR WELL AND OR 1 MINUTE ADD THE DO NOT MICROWAVE WITH CONTENTS WILL BE HOT PLEASE",,,"E101 - Riboflavin,E101i - Riboflavin,E1400 - Dextrin,E262 - Sodium acetates,E262i - Sodium acetate,E306 - Tocopherol-rich extract,E325 - Sodium lactate,E330 - Citric acid,E412 - Guar gum,E415 - Xanthan gum,E452 - Polyphosphates,E452i - Sodium polyphosphate,E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate,E627 - Disodium guanylate,E631 - Disodium inosinate",,soy;wheat_gluten;sesame,,DIRECT,YES,KEEP
0000978623508,Pane proteico,"Acqua, Miscela di proteine (12%) (Proteine del grano, Proteine del picelli), farina di segale integrale, Semi di lino scuri, Sola macinata grossa (6%), Farina di soia (3%), Crusca di frumento, Semi di lino dorati, Semi di girasole, Sesamo, Aceto di mele, Sale, Farina di segale, Lievito, Siero del latte in polvere","en:gluten,en:milk,en:sesame-seeds,en:soybeans",,,,milk;soy;wheat_gluten;sesame,,DIRECT,YES,KEEP
00004428,,"UNBLEACHED HIGH GLUTEN ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, RAISINS, WHEAT OBRAN, VITAL WHEAT GLUTEN, WHOLE WHEAT FLOUR, WALNUTS, ue DRIED APPLES, DATE PASTE, HONEY, 3% YEAST, CINNAMON, SALT, GUAR 0% GUM, MONOCALCIUM PHOSPHATE. 0% 5% 3% CONTAINS WHEAT, WALNUT. MAY CONTAIN EGG, SOY, SESAME.",,,"E341 - Calcium phosphates,E341i - Monocalcium phosphate",,wheat_gluten;tree_nut,egg;soy;sesame,BOTH,YES,KEEP
00012782,Bagel sésame 3 fromages,"PAIN BAGEL au SESAME 51,2% : Farine de BLE, eau, huile végétale raffinée de colza, sucre, GRAINES DE SESAME 2%, GLUTEN D E BLE, farine de MALT DE BLE, levure, sel, farine de SOJA, émulsifiants: E471, E322, agents de traitement de la farine : E300, E920. Garniture 48,8% : FROMAGE DE CHEVRE 41,1% (LAIT de chèvre pasteurise 98,3%, sel 1,5% ferments LACTIQUES et fongiques, coagulant), FROMAGE CHEDDAR 22,4% (FROMAGES [dont CHEDDAR 51%], LAIT écrémé réhydraté, BEURRE, sels de fonte : citrates de sodium, acide citrique, protéines de LAIT, sel, colorant : extrait de paprika, antiagglomérant:lécithine de tournesol). FROMAGE FRAIS 18,2% (BABEURRE, CREME pasteurisee 13,3%, protéines de LAIT, acidifiant :acide citrique, sel. épaississant farine de graines de caroube, conservateur : sorbate de potassium, arôme naturel),  FOURME D'AMBERT 18.2% (LAIT pasteurisé de vache, sel. présure animale ferments LACTIQUES). (% exprimés pur le garniture)",,,"E160c - Paprika extract,E202 - Potassium sorbate,E300 - Ascorbic acid,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E331 - Sodium citrates,E471 - Mono- and diglycerides of fatty acids,E920 - L-cysteine",,milk;soy;wheat_gluten;sesame,,DIRECT,YES,KEEP
0002000007201,Seeded hamburger 8 enriched buns,"Enriched wheat flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), water, yeast, high fructose corn syrup, soybean oil, contains 2% or less of the following: wheat gluten, sesame seeds, salt, cultured wheat flour, dough conditioners (sodium stearoyl lactylate, monoglycerides, ascorbic acid), yeast nutrients (monocalcium phosphate, calcium sulfate, ammonium sulfate), calcium propionate (preservative), vinegar, soy lecithin.","en:gluten,en:sesame-seeds",,"E282 - Calcium propionate,E300 - Ascorbic acid,E322 - Lecithins,E322i - Lecithin,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E481 - Sodium stearoyl-2-lactylate,E516 - Calcium sulphate,E517 - Ammonium sulphate",,soy;wheat_gluten;sesame,,DIRECT,YES,KEEP
0002000010775,Escalope soja et blé,"Protéines de soja et de blé réhydratées, Eau, Chapelure (farine de blé, eau, huile de colza, levure, sel épices (pa rika curcuma)) ; Huiles végétales (tournesol colza), BIPanc d'œuf* en poudre, Amidon de maïs, Fi6res d'agrumes, Extrait de levure, Farine de blé, Epices (oignon en poudre, paprika, piment rouge, ail deshydraté cumin, origan) ; Concentré de tomates, Vinaigre, Sel, Ail, Jaune d'œuf*, Sel iodé, Moutarde, Sucre, (*Poules élevées au sol,) Peut contenir : sésame, céleri,",,,,,soy;wheat_gluten;egg,sesame,BOTH,YES,KEEP
00015363,Solène céréales poulet à l’italienne,"PAIN SOLENE AUX CEREALE S 51,4% Farine de BLE, eau, GRAINES 8% [lin brun, millet, lin jaune, tournesol, SESAME], sel, levure, GLUTEN DE BLE, farine de BLE malté, levure désactivée, agent de traitement de la farine : acide ascorbique, Garniture 48,6% : Émincé de poulet rôti 39,1% (filet de poulet 82% [origine UE], eau, acidifiant : lactate de potassium et acétate de sodium, amidon modifié de manioc, sel,  dextrose et sirop de glucose, arômes, gélifiants E407a, antioxydant : érythorbate de sodium, colorant: caramel), billes de MOZZARELLA 31,3% (LAIT pasteurisé, sel, coagulant microbien correcteur d'acidité E330, conservateur : E202), tomates confites 15,6% (tomates 73,5% huiles végétales 25%, sel, ail, origan), salade batavia 11,7%. huile d'olive 1,4%. épices italiennes (poivrons rouge et vert, tomate en poudre, ail déshydraté 14,9%, origan 11,8%, oignon déshydrate, marjolaine 5%, paprika, basilio, poivre noir, huile de tournesol, antiagglomérant : dioxyde de silicium).",,,"E14XX - Modified Starch,E150 - Caramel,E202 - Potassium sorbate,E262 - Sodium acetates,E262i - Sodium acetate,E300 - Ascorbic acid,E316 - Sodium erythorbate,E326 - Potassium lactate,E407a - Processed eucheuma seaweed,E551 - Silicon dioxide",,milk;wheat_gluten;sesame,,DIRECT,YES,KEEP
0000442811776,Instant shrip noodles,"enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (contains one or more of the following: canola, cottonseed, palm) preserved by tbhq, salt, dehydrated vegetables (carrot, garlic, onion, chive), contains less than 2% of: chili, habanero, paprika, and other spices, monosodium glutamate, maltodextrin, freeze dried shrimp, dehydrated soy sauce (wheat, soybeans, salt), sugar, hydrolyzed corn protein, hydrolyzed wheat protein, hydrolyzed soy protein, yeast extract, miso powder (soybeans, wheat, rice, salt), potassium carbonate, citric acid, sodium carbonate, sodium hexametaphosphaté, natural flavors, sésame oil, silicon dioxide (anti-caking agent), sodium tripolyphosphate, disodium guanylate, disodium inosinate, monosodium phosphate, lactose. irimp",,,"E319 - Tertiary-butylhydroquinone (tbhq),E330 - Citric acid,E339 - Sodium phosphates,E339i - Monosodium phosphate,E452 - Polyphosphates,E452i - Sodium polyphosphate,E452vi - Sodium tripolyphosphate,E621 - Monosodium glutamate,E627 - Disodium guanylate,E631 - Disodium inosinate",,milk;soy;wheat_gluten;sesame,,DIRECT,YES,KEEP
0001202312158,Spicy Szechuan Noodles,"White Cabbage, Brown Rice Noodles (8%) [Brown Rice Flour, Water], Pak Choi (8%), Red Onion, Edamame [Soya] (8%), Chestnut Mushroom (7%), Roasted _Peanuts_ (4%) [Peanuts, Rapeseed Oil, Salt], _Soya_ Mince [_Soya_ Flour, Colour: Caramel] (4%), Water, Tamari [_Soya_ Beans, Water, Salt, Alcohol], Tahini (4%) (_Sesame_), Spring Onion (4%), Garlic, Maple Syrup, Rice Wine Vinegar, Ginger, Red Pepper Flakes, Sunflower Oil, Porcini Mushroom Powder, _Sesame_ Oil (_Soya_), Chilli Flakes, Pepper, Szechuan Pepper (0.1%)","en:sesame-seeds,en:soybeans",,E150 - Caramel,,peanut;soy;sesame,,DIRECT,YES,KEEP
0000802805391,,"je wil weten over onze Toast met rozemarijn We hebben alles op een rijtje gezet wat Dit Ingrediënten: TARWEbloem, zonnebloemolie, moutextract (GERST, maïs), zout, rozemarijn 2,3%, gist. Als je ergens niet tegen kan Allergenen: tarwe en gerst (gluten). Kan bevatten: soja, melk en sesam. Gemiddelde voedingswaarde per 100 g kJ 1787 kcal 425 Energie Vetten 11,9 g waarvan verzadigde vetzuren 1,3 g Koolhydraten 66,3 g waarvan suikers Vezels Eiwitten per 30 g kl 536 kcal 127 3,6 g 0,4 g 19,9 g 1,0 g 1,2 g 11,0 g 3,3 g 7% Zout 2,40 g 0,72 g 12% *RI= Referentie-inname van een gemiddelde volwassene (8.400 kl/2.000 kcal). Deze verpakking bevat 5 porties. Hoe zit het met de houdbaarheid? 3,2g 4,1g Ten minste houdbaar tot en met: zie achterzijde. Bewaaradvies: koel en droog bewaren. BI RESTAFVAL We zijn er voor je Consumentenservice: Jumbo Supermarkten B.V. Antwoordnummer 10072, 5460 VB Veghel Nederland, Jumbo.com To gool je de verpakking weg VERPAKKING RI 6% 5% 2% 8% 19% 150g e",en:gluten,,,,wheat_gluten,soy;milk;sesame,BOTH,YES,KEEP
0001472055734,,"Wasser, Weizenvollkornmehl, Weizeneiweiß, Sonnenblumenkerne, Leinsamen, Erbsenschrot, Hefe, Sesam, Weizenproteinkonzentrat, Ackerbohnenmehl, Gerstenmalz - mehl, Weizenspeisekleie, Natursauerteig (Wasser, Roggen - vollkornmehl, Roggenmehl, Weizenmehl), Säureregulator: Natriumacetate; Roggenmehl, Salz. Kann Spuren von Ei, Soja und Milch enthalten. Angebrochene Packung stets wieder mit Clip verschließen und möglichst bald verzehren. Ungeöffnet",,,E262 - Sodium acetates,,wheat_gluten;sesame,egg;soy;milk,BOTH,YES,KEEP
00021065,Sächsischer Christstollen,"WEIZENMEHL, Sultaninen, Margarine (Palmfett, Wasser, Rapsöl, Emulgatoren Mono - und Diglyceride von Speisefettsäuren und Sonnenblumenlecithine, Säuerungsmittel Citronensäure), Orangeat / Zitronat (Orangen - und Zitronenschalen, Glukose-Fruktosesirup, Zucker, Salz, Säuerungsmittel Citronensäure), Wasser, Zucker, Hefe, MANDELN, Backmittel (SÜSSMOLKENPULVER, MAGERMILCHPULVER, Palmfett, Glukosesirup, MILCHEIWEISS, Mehlbehandlungsmittel Ascorbinsäure), Rum, Salz, Aromen (enthält SOJA, MANDELN), Kokosfett, Dekor: Dekorzucker (Traubenzucker, WEIZENSTÄRKE, Palmfett, natürliches Aroma), BUTTERFETT mit Aroma Vanillin, Zucker, natürliches Vanillearoma. Kann Spuren von SESAM, ERDNÜSSEN, anderen SCHALENFRÜCHTEN und EIPRODUKTEN enthalten.",,,"E300 - Ascorbic acid,E330 - Citric acid",,milk;soy;wheat_gluten;tree_nut,sesame;peanut;egg,BOTH,YES,KEEP
0001509202181,Michigan bread company,"unbleached hard spring wheat flour, malted barley flour, niacin, reduced 70 iron, thiamin riboflavin, folic acid, water, 1% sesame seeds, sugar, salt, 0% soybean oil, hydrogenated soybean oil, hydrogenated cottonseed oil, yeast, enzymes, calcium propionate 0% (preservative). 1 slice (28 g) mononitrate, % dally value 5% 4% 0%",,,,,wheat_gluten;sesame;soy,,DIRECT,YES,KEEP
0000200000020,,"Noix de pécan gril - lées* (100%). (*issu de l'agricul - ture biologique). Peut contenir des traces de fruits à coque, d'arachides et de graines de sésame. EN Ingredients: roasted pecan nuts* (100%). (*from organic farming). May contain traces of pea - nuts, other nuts and sesame seeds. À consommer avant le : voir couvercle/ To be consumed before : see the lid. FR Th",en:nuts,,,,tree_nut,peanut;sesame;tree_nut,BOTH,YES,KEEP
00001004,Concha,"Hartweizengrieß, Frischei (10 %) * &quot;Eler aus Bodenhaltung Kann Spuren von Soja enthalten. Oko DX Ungekocht Energie DURCHSCHNITTLICHE MAHRWERTE pro 100g Fett",,,,,egg;wheat_gluten,soy,BOTH,YES,KEEP
0000112302754,pur soup' mouliné de 5 légumes verts,"Eau, pomme de terre, courgette, poireau, brocoli, haricot vert, oignon, céleri-rave, épinard, carotte, crème fraiche, amidon de maïs, sel. Contient 29% de légumes verts. Peut contenir des traces de blé (gluten) et oeuf.","en:celery,en:gluten,en:milk,en:none",,,,milk,wheat_gluten;egg,BOTH,YES,KEEP
0000112302683,,"eau, potiron 21%, pomme de terre, oignon, jus de tomates à base de concentré, crème, champignons de Paris, amidon transformé de maïs beurre de cuisine, girolles 1,1%, sel, sucre, arômes (contient lait), persil; ail. Peut contenir des traces de céleri, blé (gluten) et oeuf.",en:gluten,,E14XX - Modified Starch,,milk,wheat_gluten;egg,BOTH,YES,KEEP
00002119,,"Chocolat au _lait_ 25% (sucre, beurre de cacao, _lait_ entier en poudre, pâte de cacao, émulsifiant : lécithines (_soja_), arôme naturel de vanille), _œufs_ 19.5%, sucre, noix de coco râpée 13%, _beurre_ concentré, poudre _d'amande_, farine de _blé_ 7%, sirop de glucose-fructose, stabilisant : glycérol, sel, arôme naturel de coco, poudres à lever : carbonates de sodium - citrate de sodium (_blé_). Peut contenir des traces de _fruits à coque_.",en:soybeans,,"E322 - Lecithins,E331 - Sodium citrates,E422 - Glycerol,E500 - Sodium carbonates",,milk;egg;soy;wheat_gluten;tree_nut,,DIRECT,YES,KEEP
00001404,,"Farine de blé 39%, chocolat noir 22% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, beurre concentré, huile de colza, lait écrémé en poudre, sel, poudres à lever: carbonates de sodium - citrates de sodium (blé), arôme naturel. : Peut contenir des traces d'œufs, de graines de sésame et de fruits à coque. S",,,"E322 - Lecithins,E322i - Lecithin,E331 - Sodium citrates,E500 - Sodium carbonates",,milk;soy;wheat_gluten,egg;sesame;tree_nut,BOTH,YES,KEEP
0000112301878,pot au feu de légumes aux aromates,"es laisirs % des R.&quot; par NGREDIENTS eau, légumes 27 % (carotte, navet, poireau, pomme de terre, chou vert, céleri, oignon), viande de boeuf cuite 2,2 %, amidon transformé de pomme de terre, sel, arômes (contient : lait, céleri, huile de colza, girofle en poudre, exhausteur de goût: glutamate de sodium, extraits naturels de thym, de laurier et de poivre. Peut contenir des traces de blé et oeuf 3% 3% 1% 3% 3% | | 7% 31% dulte",,,"E14XX - Modified Starch,E621 - Monosodium glutamate",,milk,wheat_gluten;egg,BOTH,YES,KEEP
0000105748562,,"Tomatoes (46%), Pasta Shapes (45%, Water, Durum Wheat Semolina), Water, Sugar, Modified Cornflour, Salt, Acid-Citric Acid, Spice, Garlic Salt, Onion Extract, Spice Extract, Iron Sulphate, Vitamin D. May contain Egg.",,,E330 - Citric acid,,wheat_gluten,egg,BOTH,YES,KEEP
0000112307267,Mouliné de Légumes Verts,"Eau,pomme de terre³,courgette³ , poireau³, haricot vert³, oignon³, céleri-rave³, brocoli³, carotte³, épinard³, amidon de mais³, crème³, sel de mer,arôme naturel. Contient 24% de légumes verts. ³Issus de l'agriculture biologique. Peut contenir des traces de blé (gluten) et œuf.",en:gluten,,,,,wheat_gluten;egg,PRECAUTIONARY,YES,KEEP
0000200003080,walkers,"Potatoes, Vegetable Oils (Sunflower, Rapeseed, in varying proportions), Salt & Vinegar Seasoning [Flavourings, Acids (Citric Acid, Malic Acid), Potassium Chloride, Salt, Dextrose, Sugar, Yeast Extract], Antioxidants (Rosemary Extract, Ascorbic Acid, Tocopherol Rich Extract, Citric Acid). Allergy Advice May Contain: Milk, Wheat, Gluten, Barley, Soya, Celery, Mustard SUITABLE FOR VEGETARIANS Packaged in a Protective Atmosphere WALKERS ered",,,"E296 - Malic acid,E300 - Ascorbic acid,E306 - Tocopherol-rich extract,E330 - Citric acid,E392 - Extracts of rosemary",,,milk;wheat_gluten;soy,PRECAUTIONARY,YES,KEEP
0000112407510,velouté de cresson.,"Eau,pomme de terre 18%, cresson de jardin 4,8%,crème fraîche 2,2%, oignon,amidons transformé de maïs, petits pois, sel,arômes ( contient lait) extrait naturel de poivre. peut contenir des traces de céleri, blé ( gluten ) et œuf.","en:gluten,en:milk",,E14XX - Modified Starch,,milk,wheat_gluten;egg,BOTH,YES,KEEP
0000112302688,,"eau, pomme de terre 15%, oignon 6,6%, lait écrémé reconstitué, amidon transformé de mais, poudre de fromage 1,5%, lardons fumés 1,2% (porc, eau, sel), huile de colza, sel, arômes (contient lait), extraits naturels d'épices. Peut contenir des traces de céleri, de blé (gluten) et d'oeuf.",en:gluten,,E14XX - Modified Starch,,milk,wheat_gluten;egg,BOTH,YES,KEEP
0000200008497,serving contains: Saturates Sugars Salt 0.6g 0.7g,"Potatoes, Vegetable Oils (Sunflower, Rapeseed, in varying proportions), Tomato Ketchup Seasoning [Sugar, Flavourings, Potassium Chloride, Salt, Tomato Powder, Acid (Citric Acid), Colour (Paprika Extract)], Antioxidants (Rosemary Extract, Ascorbic Acid, Tocopherol Rich Extract, Citric Acid). Allergy Advice May Contain: Milk, Wheat, Gluten, Barley, Soya, Celery, Mustard. SUITABLE FOR VEGETARIANS Packaged in a Protective Atmosphere. WALKERS, and the WALKERS logo are registered Trademarks 2025 The HEINZ trademarks are owned by H.J. Heinz Foods UK Limited and are used under license",,,"E160c - Paprika extract,E300 - Ascorbic acid,E306 - Tocopherol-rich extract,E330 - Citric acid,E392 - Extracts of rosemary",,,milk;wheat_gluten;soy,PRECAUTIONARY,YES,KEEP
00001403,Sablés Coco Lait,"Farine de blé 27.5%, chocolat au lait 22% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, noix de coco râpée 10%, œufs de poules élevées en plein air 9%, beurre concentré, huile de colza, poudres à lever carbonates de sodium - citrates de sodium (blé), lait écrémé en poudre, malt d'orge, sel, émulsifiant : lécithines (soja), arôme naturel de coco. Peut contenir des traces de graines de sésame et de fruits а сoque.",,,"E322 - Lecithins,E322i - Lecithin,E331 - Sodium citrates,E500 - Sodium carbonates",,milk;egg;soy;wheat_gluten,sesame;tree_nut,BOTH,YES,KEEP
