code,product_name,ingredients_text,allergens,allergens_en,additives_en
00000021,Inulin Prebiotic Fiber,Inulin Prebiotic Fiber (Chicory Root Powder),,,
00000022,Farandole de madeleine,"Madeleines ChocoNoir - Madeleines nappées de chocolat noir : farine de blé 27%, chocolat noir 18% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. Peut contenir des traces de fruits à coque. Toutes vos remarques et suggestions sont les bienvenues : contactez notre Service Qualité en indiquant le nom et le numéro du lot du produit concerné figurant sur le dessus de la boîte. Pour conserver toutes les qualités de ce produit, le maintenir dans un milieu tempéré à l'abri de la chaleur, de l'humidité et du froid.",,,"E322 - Lecithins,E322i - Lecithin,E331 - Sodium citrates,E422 - Glycerol,E500 - Sodium carbonates,E503 - Ammonium carbonates"
00000024,Croccante con pistacchi e miele,"Pommes séchées - Dried Apple* Origine: Autriche - Origin: Austria Ce produit provient d'une fabrique où les noix, cacahuètes, sésame, blé et gluten sont utilisés. This producti 024",,,
00000025,Frog Fuel Power Protein,"glucose syrup, sugar, water, pectin, black carrot concentrate and chlorophyll (color), citric acid, trisodium citrate, natural flavor",,,"E140 - Chlorophylls and Chlorophyllins,E140i - Chlorophylls,E330 - Citric acid,E331 - Sodium citrates,E331iii - Trisodium citrate,E440 - Pectins"
00000026,The Smartest Cookie,"beef, seasoning (sugar, garlic, onion, salt, spices), soy sauce (water, wheat, soybeans, salt), water, liquid smoke, sodium nitrite",,,E250 - Sodium nitrite
00000027,Volle yoghurt,NIK ODŻYWCZY WSPIERA PRAWIDŁOWE FUNKCJONOWANIE ORGANIZMU ZESKANUJ WIĘCEJA SPOTKAJMY SIN SPRÓBLU JAK PYSZNA IWARTOŚCIOWA MOŻE BYĆ TWOJA PRZEKĄSKA mieste dal twistenue p amach ne zachowania,,,
00000028,Hershey’s Syrup,Organic Defatted Hemp Seed Powder. Certified Organic by Quality Assurance International (QA).,,,
00000029,Anthony's Organic Cocoa Butter Chunks,Allulose,,,
00000031,Lindt Vollmilch Schokolade,"salt, potato starch, palm oil, yeast extract, sugar, chicken fat, flavouring, chicken powder, onion powder, turmeric powder, celery seed, parsley, rice flour, black pepper, lemon juice powder",,,
00000033,Vegan Protein 3k Chocolate Flavor,MAT TRACCIATO PERONI 10 INDISCUTIBILME 46,,,
00000034,Graines de Chia,Graines de chia,,,
00000035,Cardiofitmd,"Oat Fiber, Tahl Gum (Acacia seyal), Apple Fiber, Guar Gum, Rice Bran Fiber, Beet Root Powder, Beet Juice Powder, Rhodiola Root Powder, Bacillus Coagulans, Natural Vanilla and Lemonade Flavors, Other Natural Flavors, Malic Acid, Stevia Leaf Extract, Fumaric Acid, Ginger Root Powder, Tartaric Acid",,,"E296 - Malic acid,E297 - Fumaric acid,E334 - L(+)-tartaric acid,E412 - Guar gum,E960 - Steviol glycosides"
00000036,Multi Patents Collagen Peptides,"Multi Collagen Complex, Hydrolyzed Bovine Collagen Peptides, Hydrolyzed Fish Collagen Peptides, Chicken Bone Broth Protein Concentrate, Eggshell Membrane Collagen, Hyaluronic Acid, Superfoods Blend (Millet, Amaranth, Apple Pulp, Kale, Quinoa, Buckwheat, Cinnamon, Chia Seed, Flax Seed, Barley Sprout, Millet Sprout, Garbanzo Bean Sprout, Alfalfa Sprout, Pumpkin Seed Sprout, Flax Oil, Sunflower Seed, Lentil Sprout, Adzuki Sprout, Broccoli Sprout, Sunflower Seed Sprout, Wheat Grass, Oat Grass, Spinach, Green Bell Pepper, Turmeric, Banana, Cranberry, Mango, Beet, Broccoli, Carrot, Spinach, Onion, Blueberry, Parsley, Raspberry, Strawberry, Asparagus, Celery, Cucumber, Chlorella, Spirulina, Graviola Leaf, Mangosteen, Noni Fruit, Acai, Pomegranate, Grape)",,,
00000037,Sea Moss Gummies,"Glucose Syrup, Sugar, Water, Citric Acid, Pectin, Natural Flavors, Sodium Citrate, Coconut Oil, Carnauba Wax",,,"E330 - Citric acid,E331 - Sodium citrates,E440 - Pectins,E903 - Carnauba wax"
00000039,Yerba Mate,"Nutrition Facts 20 servings per container Serving size (1.7oz.) in 16.9 fl.oz.water Amount per serving Calories 21 Total Carbohydrate 4.7mg Protein 0.6g Total Fat Og % Daily Value* 2% 1% 0% Saturated Fat Og Trans Fat Og Dietary Fiber Og 0% 0% 0% Sodium 6mg Percent Daily Values are based on a 2,000 calories diet. Nutrition Facts Valeur nutritive Per 250 ml brewed mate (from 60 g dry leaves) pour 250 ml de maté infusé (à partir de 60 g de feuilles sèches) Amount Teneur % Daily Value Calories/Calories Fat/Lipides Sodium/Sodium Carbohydrate/Glucides 6 g % valeur quotídien ne 0% 2% 25 Og 10 mg 0% 1g Sugars/Sucres Protein/Protéines. Source négligeable de lipides saturés, lipides trans, cholestérol, fibres, vitamine A, vitamine C, calcium et fer. gg 210",,,
00000042,Multivitamins & Minerals,"La cellulose Microcristalline, Maltodextrine, Calcium (Carbonate de Calcium), Vitamine C (Acide ascorbique), Magnésium (0xyde de Magnésium), Fécule de maïis, Vitamine B3 (Nicotinamide), Fer (Fumarate Ferreux), Vitamine E (D-a Acétate de tocophéryle), Palmitate d'ascorbyle, Zinc (0xyde de Zinc), Vitamine B5 (Pantothénate de D-Calcium), Vitamine B2 (Riboflavine), Vitamine B6 (Le Chlorhydrate de Pyridoxine), Manganèse (Sulfate de manganèse), Vitamine B1 (Chlorhydrate de Thiamine). Cuivre (Gluconate cuivrique), Vitamine A (Acétate de Rétinyle), Acide folique, lode (lodure de potassium), Vitamine K2 (Menaquinone-7), Sélénium (Sélénite de sodium), Vitamine B12 (Méthyl cobalamine), Biotine, Molybdène (Molybdate de Sodium), Chrome (Picolinate de chrome), Vitamine D3 (Cholécalciférol). Stabilisateurs: Polyvinylpyrrolidone K 30, Hydroxypropyl méthylcellulose",,,"E1201 - Polyvinylpyrrolidone,E304 - Fatty acid esters of ascorbic acid,E304i - Ascorbyl palmitate,E460 - Cellulose,E460i - Microcrystalline cellulose,E464 - Hydroxypropyl methyl cellulose"
00000045,Gummie,"acrylate adhesive, polyester, silicone adhesive",,,
00000049,Mre Lite,"Whole Food Protein Blend (Beef Protein Isolate, Pea Protein, Brown Rice Protein, Chicken Protein, Egg Albumin, Salmon Protein), Milk Powder (for texture), Medium Chain Triglyceride (MCT) Oil Powder (Nonfat Dry Milk, Potassium Phosphate), Natural and Artificial Flavors, Cellulose Gum, Sucralose, Acesulfame Potassium, Maltodextrin, Salt, Silicon Dioxide",,,"E340 - Potassium phosphates,E466 - Sodium carboxy methyl cellulose,E950 - Acesulfame k,E955 - Sucralose"
00000050,Thermo complete,"tions melles microcristalline), extrait de thé vert (Camellia sinensis), amidon de mais, rinés % VNR* extrait de cacao (Theobroma cacao), ng.... 50 % extrait de yerba maté (llex paraguariensis), poudre de caféine, poudre de cannelle Bmng Cinnamomum verum), anti-agglomérants ng (dioxyde de silicium, acides gras, mg carboxyméthylcellulose de sodium, sels ing ing de magnésium d'acides gras), poudre ng de céleri (Apium graveolens), poudre ing de persil (Petroselinum crispum), acide L-ascorbique, poudre de luzerne (Medicago sativa), poudre de fenouil (Foeniculum vulgare), enrobage du comprimé lagent d'enrobage (carboxyméthylcellulose de sodium), dextrine, dextrose, émulsifiant ing Amg 2mg ste derencelécithine de soja)l, poudre de réglisse te dage (Glycyrrhiza glabra). Conseil : pour les relulose AFERIROPE LIMITED allergènes, voir les ingrédients en gras. ©2015 HERBALIFE LOO5OF R-05 SK Uo050",en:celery,,"E1400 - Dextrin,E466 - Sodium carboxy methyl cellulose,E551 - Silicon dioxide,E570 - Fatty acids"
00000051,Fondants Citron,"mûre bio 50% (fruit 27%, purée 23%) sucre de canne bio, gélifiant: pectine de fruits, traces éventuelle de fruit à coques","en:eggs,en:gluten,en:milk,en:nuts",,E440 - Pectins
00000052,Organic Erythritol Granulated,100% certified organic granulated erythritol,,,E968 - Erythritol
00000055,Calcium,"Sucre, blanc d'œufs 19%, beurre concentré, chocolat noir 12.5% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant: lécithines (soja), arôme naturel de vanille), poudre d'amande 12%, farine de blé 11%, ceufs 5.5%, sirop de glucose-fructose, stabilisant : glycérol, cacao maigre en poudre, sel, arôme naturel de cacao. Peut contenir des traces d'autres fruits à coque.","en:eggs,en:gluten,en:milk,en:nuts,en:soybeans",,"E322 - Lecithins,E322i - Lecithin,E422 - Glycerol"
00000056,juca,leite  egua,,,
00000062,Abricots,Abricots,,,
00000067,,"Füllstoff (Mikrokristalline Cellulose), Zinkglu - conat, Modifizierte Stärke, Biotin (Vitamin B7), Natriumselenit.",,,
00000068,,"Kakaomasse*, Rohrzucker*, 10% karamellisierte Kokosflocken* (Kokosnuss*, Rohrzucker*), Kakaobutter*. *aus biologischer Landwirtschaft Kakao: 72%",,,
00000072,Protien iced tea,"Aqua, Cocos Nucifera Fruit Juice, Aloe Barbadensis Leaf Juice, Butyrospermum Parkii Butter, Dicaprylyl Carbonate, Caprylic/Capric Triglyceride, Olea Europaea Fruit Oil, Cetearyl Alcohol, Glyceryl Stearate SE, Hexyidecanol, Hexyldecyl Laurate, Hydrogenated Vegetable Glycerides, Argania Spinosa Kernel Oilt, Glycerin, Squalane, Sodium Hyaluronate, Cucumis Sativus Extract, Sodium Stearoyl Glutamate, Glyceryl Caprylate, Toco- pherol (Vitamin E), Xanthan Gum, Sodium Phytate, Sodium Ben- zoate, Citric Acid, Sodium Levulinate, Sodium Anisate, Parfum &quot;certified organic X000WD7L2D",,,"E330 - Citric acid,E415 - Xanthan gum,E422 - Glycerol,E502 - Carbonates,E621 - Monosodium glutamate"
00000073,Whopper,"660mg 440mg the UK.) MADE IN UK LYON J765624.v00 X000KLI7E3 of water. CAUTION: Do recommended do pregnant, breast prescription medic daily with medical supervision advisable to const taking any suppleme product is not intend cure or prevent any Discontinue use and GP if adverse reacto Not suitable for pers the age of 18. Keep of children at all in use if seal is broken Food supplements be used as a s subs varied and balan healthy lifestyle EAN: 713179312293",,,
00000075,,"potato, high oleic sunflower oil (31%) flavourings, rice flour, salt, cornflour sugar, citric acid,",,,E330 - Citric acid
00000083,Xanthan gum,xanthan gum,,,E415 - Xanthan gum
00000085,Alimento,"filtered water, grape juice concentrate, pomegranate juice concentrate, malic acid, fumaric acid, natural flavor, sodium citrate, ascorbic acid (vitamin C), red 40, sucralose, acesulfame potassium, blue 1",,,"E129 - Allura red,E133 - Brilliant blue FCF,E296 - Malic acid,E297 - Fumaric acid,E331 - Sodium citrates,E950 - Acesulfame k,E955 - Sucralose"
00000086,Vegan protein powder,leite  egua,,,
00000087,leite egua,leite  egua,,,
00000093,Organic Cacao Powder,Poudre de cacao bio du Ghana et de la Côte d'Ivoire.,,,
00000095,Chopped spinach,"Sugar Cane, Glucose Syrup (Corn Syrup), Water, Citrus Pectin, Citric Acid, Sodium Citrate, Natural and Artificial Flavors, Betacarotene.",,,"E330 - Citric acid,E331 - Sodium citrates,E440 - Pectins"
00000097,example,exemples1 and examples2,,,
00000100,,"Beetroot extract, Quercetin, L-Citrulline, Schisandra fruit extract, Pomegranate fruit extract, Pine Bark extract, Hawthorn Berry extract, Celery Seed extract, Cane Sugar, Natural Flavors, Citric Acid",en:mustard,,E330 - Citric acid
00000101,Vegan plus sostituto del pasto,Maltodextrin and Stevia,,,
00000103,children's dha,I want to know,,,
00000104,30 Panach' Fruits,"Pâtisseries fourrées à la pulpe de pêche : farine de blé, fourrage pêche 20% (sirop de glucose-fructose, purée de pêche 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe d'abricot : farine de blé, fourrage abricot 20% (sirop de glucose-fructose, purée d'abricot 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe de fruits rouges : farine de blé, fourrage fruits rouges 20% (sirop de glucose-fructose, purée de fraise 17.8%*, sucre, purée de framboise concentrée 5%* (équivalent à 21.2%* de purée de framboise), purée de cerise concentrée 3%* (équivalent à 11%* de purée de cerise), gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arôme, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *soit un équivalent de 50% de purée de fruits sur le fourrage équivalent à 10% sur l’ensemble du produit.",,,"E202 - Potassium sorbate,E330 - Citric acid,E331 - Sodium citrates,E422 - Glycerol,E440 - Pectins,E450 - Diphosphates,E471 - Mono- and diglycerides of fatty acids,E500 - Sodium carbonates,E503 - Ammonium carbonates"
00000106,Snep vegan plus,REFILL YOUR BOTTLE ECONOMIC REFILL &quot; Hydratant Visage et Corps. &quot; Reparateur et cicatrisant. &quot; Gel apres-rasage et apres epilation. &quot; Gel pour la barbe. &quot; Reparateur apres soleil. Soin pour les animaux de compagnie. B. .T. cosmetic,,,
00000108,BP-ER,100% PURE BOVINE COLLAGEN PEPTIDES,,,
00000111,Vegan plus,"Hvetemel, melbehandlingsmiddel (askorbinsyre). Inneholder 80% av kornets bestanddeler.",,,
00000112,Plus,"wate NUTRITIONAL INFORMATION for 250 ml of product ready for consumption INFORMAZIONI NUTRIZIONALI per 250 ml di prodotto pronto da consumare Valore Energetico/Energy 905,67 kJ/215,13 kcal%VNR Grassi, di cui: /Fat, of which: ac acidi grassi saturi / Saturates grassi monoinsaturi monounsaturated fatty acids acidi grassi poli insaturi polyunsaturated fatty acids di cui acido linoleico/ of which linoleic acid Carboidrati/Carbohydrate di zuccheri/of which sugar Fibry limentari /Fiber Pro/Protein Vitamina B12/Vitamin B12 Biotina (Vitamina H) /Biotin (Vitamin H) Vitamina K/Vitamin K Acido Pantotenico (Vitamina B5)/ Pantothenic Acid (Vitamin B5) Minerali/Minerals Potassio / Potassium Calcio/Calcium Fosforo/Phosphorus Magnesio/Magnesium Sale Vita e/Vitamins Vitara A/Vitamin A Vitana D/Vitamin D Vitamina E /Vitamin E Vitamina C/Vitamin C Tiamina (Vitamina B1)/Thiamine (Vitamin B1) 0,44 mg Riboflavina (Vitamina B2) / Riboflavin (Vitamin B2) 0,56 mg Niacina (Vitamina B3) / Niacin (Vitamin B3) 6,4 mg Piridossina (Vitamina B6) /Pyridoxine (Vitamin B6) 0,56 mg Folato/Folate Ferro/Iron Zinco/Zinc Rame/Copper 6,799 2,95 g 2,29 g Manganese/Manganese Selenio/Selenium loddine Sodio/Sodium Ganoderma ES/DE 1,55 g 1,08 g 22,06 g 19,77 g 1,29 g 16,7 g 0,614 g 320 mcg 40% 2 mcg 40% 4,8 mg 40% 32 mg 40% 40% 40% 40% 40% 50% 100 mcg 1,25 mcg 50% 20 mcg 40% 22,5 mcg 30% 2,4 mg 40% 760 mg 38% 397 mg 49,6% 280 mg 40% 150 mg 40% 5,3 mg 38% 3,8 mg 38% 0,4 mg 40% 0,8 mg 40% 22 mcg 40% 60 mcg 40% Ingredients P Fruttosio, Fibra di me Latte in polvere Ma 245,44 mg 200 mg germe di grandi p magnesio, Inulina Ad xantano, Fosfato d (Ganoderma lucidan sporophorum ES C Vitamina C (Acido L di zinco, Agente antag di silicio, Solfato manganese, Na Vitamina E (Aceto de Vitamina A (Acetato de di rame; Vitamina B5 Ca to); Vitamina 03 (Cole B6 (Cloridrato di pride (Riboflavina), Vitamina tiamina); Vitamina KFlac 89 (Acido pteroil-morga di potassio, Selenito da Vitamina B12 (Canecabalim Ingredients: Soy protes Fructose; Apples ber citrate; Powdered m Wheat germ all powde magnesio; Inulina Gomma di xantang Fo Ganoderma Gand (Curtis) P. Karst) sporphe mg); Vanilla flavour Vo bic Acids Zinc glo agent Silicon diode Manganese glucone n mide: Vitamin E AR cofer); Vitamin A Copper gluconate D-Pantothenic 20 ferol): Vitamin 86 P ride); Vitamin 82 Re B1 (Thiamine bydecho (Phylloquinone noglutamic acid P Sodium selende Do &quot;per porzione da 26 g con 250 ml latte parz. scremato (1,5% grassi) (Cyanocobal **serving of 26 g with 250 ml low-fat milk (1,5% fat) &quot;VNR=",,,E101 - Riboflavin
00000116,Vanille-Erdbeer-Cocktail,"Sunflower Seed Butter (Roasted Sunflower Kernel, Dried Cane Syrup, Salt), Vegetable Glycerin, Tapioca Syrup, Rice Crisps (Rice Flour, Rice Bran, Raisin Juice Concentrate, Honey, Salt), Flour Mix (Rice, Buckwheat, Millet), Date Paste, Quinoa Flakes, Rice Starch, Dried Cane Syrup, Puffed Amaranth, Brown Cane Sugar, Ground Flaxseed, Gum Arabic, Xanthan Gum, Salt, Natural Flavor, Leavening (Baking Soda), Vitamins and Minerals (Niacin, Riboflavin, Vitamin B6, Thiamin, Calcium).",,,"E414 - Acacia gum,E415 - Xanthan gum,E422 - Glycerol,E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate"
00000124,Maté Yerba mate,FR Yerba maté Ingrédients issus de l'agriculture biologique - UK - Yerba mate *Ingredients resulting from organic farming - DE Yerba Mate Zutaten aus ökologischer Anbau - ES - Yerba mate Ingredientes procedentes de la agricultura ecologica - IT - Yerba mate &quot;Da agricultura biologica Yerba Maté 1KG contact@origeens.com origeens com X00124QSJD GEMYNO SAS 8 allée des Hirondelles 60190 Estrées St Denis FRANCE Distribution certified by FR-BIO-09,,,
00000127,Whey Protein - Chocolate,"L-choline-bitartrate 168mg, extrait de racine de chicorée de Bruxelles (Cichorium intybus L. sativum) 350mg, enveloppe de la capsule (hydroxypropylméthycellulose), extrait de coeur et de pétale d'artichaut (Cynara scolymus) 210mg, extrait de racine de pissenlit (Taraxacum officinale) 210mg, extrait de rhizome de curcuma (Curcuma longa) 140mg dont 95% de curcuminoïdes 133mg",,,
00000128,Il caffè del benessere,"bulking agents(microcrystalline cellulose, dicalcium phosphate), vitamin k2 (mk7), anti-caking agents (magnesium stearate)",,,"E341 - Calcium phosphates,E341ii - Dicalcium phosphate,E460 - Cellulose,E460i - Microcrystalline cellulose,E572 - Magnesium stearate"
00000131,Confiture de fraise mara des bois,"Erythritol, Monk Fruit Extract",,,E968 - Erythritol
00000134,Erythritol,Eritritol (100%). Store in a cool and dry place. Excessive consumption may have a laxative effect. Almacenar en un lugar fresco y seco. Un consumo excesivo puede producir efectos laxantes. Best Before End/ Batch: See package,,,E968 - Erythritol
00000137,Peanut Brittle,"Sugar, glucose syrup, peanuts (30%)",,,
00000138,,"HER SUBSTANCES/NAHRSTOFFE UND SONSTIGE STOFFE/ ANDERE STOFFEN/NUTRIENTES Y OTRAS SUSTANCIAS NUTRIMENTS ET AUTRES SUBSTANCES/NUTRIENTI E ALTRE SOSTANZE per dose giomaliera (-8g. 2.s Niacin/Niacine/Niacine daily dosage/pro Tagesdosis/ per dagelijkse desering/ per dosis data par d /2 Messlöffel/2 mantlepels/2 cucharas medidores/2 cuillères de me Creatine monohydrate/Kreatin Monohydrat/Creatine monohydraat/ Monohidrato de creatina/Créatine monohydrate/Creatina Monoidrato Beta-alanine/Beta-Alanin/Beta alanine / Beta alanina L-arginine AKG/L-Arginin AKG/L-arginina AKG Taurine/Taurin/Taurine Citrulline-L-malate/Citrullin-L-Malat/Citrulline-L-malaat/L-malato de citrulina / Citrulline L-malate/Citrullinama L-tyrosine/L-Tyrosin/L-tirosina Caffeine/Koffein/Cafeine/Cafeina/Caféine / Caffeina *300% nutrient reference value according to regulation (EU) 1169/2011./300% Nährstoffbezugswerte laut VO (EU) Nr 1169/2011 volgens de voedingsrichtlijn (EU) n. 1169/2011.7300% porcentaje de la cantidad de referencia con arreglo al reglamento (UE) no. 1169 de la quantité de référence au titre du règlement (UE) N° 1169/2011 par posologie quotidienne recommandée/300% percentuale omaliero di cui al regolamento (UE) n. 1169/2011 EAN: 4260640857341 dry and dark place, out of geschätzt und außerhalb der www Reichweite von Kindem aufbe buiten het licht en buiten een koele, droge plaats, het bereik van kinderen are alejado de la ley had a grey wa alcance de los niños X001FTU38R Best before end, batch number, see print.",,,E369 - Alanin
00000140,tisane saveur lunaire,"INGRÉDIENTS 100% NATURELS POMME, ROOIBOS VERT, VERVEINE&quot;, ARÓME NATUREL, ÉCORCES D'ORANGE, FLEURS DE SOUCI&quot;, VERVEINE ENTIÈRE*, FEUILLES DE MURE&quot;, FRAMBOISE, PASSIFLORE&quot;. CASSIS",,,
00000141,EnergyDiet. Soupe Thai,"proteine isolate di soia, aromi, proteine isolate di pisello, proteine concentrate di riso, proteine in polvere di semi di girasole, proteine di semi di zucca, farina di amaranto, cannella in polvere, sucralosio, glicosidi steviolici da stevia",,,"E955 - Sucralose,E960a - Steviol glycosides from Stevia"
00000144,Bio Whey Isolat,"100% Erythritol, un producto NON GMO, apto para vegetarianos y veganos, libre de soya y gluten, apto para diabeticos, usalo para horn",,,
00000146,Batido nutricional / Nutricional Shake,"Soya protein isolate (40,8%), cookie crumbs (wheat flour (gluten), rice flour, oat flour (gluten), barley malt flour, sugar, cocoa, corn flour, salt, emulsifier (soya lecithin), fructose, inulin, oat fibre (gluten). polydextrose, soya oil thickeners (quar gum powde, santhan gum, carragenan, pectin), oat bran gluten), milk protein concentrate (1.9 %), flavourings (lactose), calcium citrate, dextrose, potassium phosphate, sodium chloride, anti-caking agent (silicon dioxide), sweeteners (sucralose, acesulfame-K), rapeseed oil, magnesium oxide, ginger root powder, L-ascorbic acid, ferrous fumarate, DL-alpha tocopheryl acetate, liquorice root powder, nicotinamide, papaya powder, zinc oxide, cupric gluconate, retinyl palmitate, D-calcium pantothenate, cholecalciferol, pyridoxine hydrochloride, cyanocobalamin, manganese carbonate, riboflavin, thiamin hydrochloride, ascorbyl palmitate, pteroylmonoglutamic acid, Dl-alpha tocopherol, potassium iodide, sodium selenite, D-biotin. CONTAINS GLUTEN, MILK AND SOYA. SOUTH AFRICA, LTD.","en:gluten,en:milk,en:soybeans",,"E1200 - Polydextrose,E304 - Fatty acid esters of ascorbic acid,E304i - Ascorbyl palmitate,E307 - Alpha-tocopherol,E322 - Lecithins,E322i - Lecithin,E440 - Pectins,E551 - Silicon dioxide,E950 - Acesulfame k,E955 - Sucralose"
00000147,Pan,"Pâtes à l'épeautre - Rêve de Neptune - Spelt neptunes dream (500g e) Ingrédients Ingrediënten speltbloem*, tomaat*, spinazie*, biet&quot;, spirulina* farine d'épeautre *, tomates *, épinards *, betteraves *, spiruline *",,,
00000149,Nutri+ vegan 3k Proteinpulver,100% Finest Durum Wheat Pasta: Ingredients: Durum Wheat Semolina,,,
00000152,Pure Creatine Monohydrate,"Sweeteners: erythritol (E-968) and steviol glycosides from stevia (E-960a) (0,3%).",,,"E960a - Steviol glycosides from Stevia,E968 - Erythritol"
00000154,Mct Oil Powder,"Austin, TX 78704 2311 S 5th St. #113 Sodium Medium Chain Triglycerides 7g sed Ga a 2000 calorie diet. &quot;Percent Dailyalues a &quot;Daily Value not estaplished. CER INGREDIENTS: Inulin, sodium cascinate, silicon dioxide, sunflower lecithin Contains coconut, milk Distributed by: Opportuniteas Inc. portuniteas.com",,,"E322 - Lecithins,E322i - Lecithin"
00000157,Matcha Tè Verde Giapponese,Organic Matcha Green Tea powder,,,
