code,product_name,user_allergies,confirmed_allergens,potential_allergens,sulphite_threshold_allergens,decision,risk,matched_user_allergens,reason
0000252828288,Chick-fil-A nuggets,Egg;Milk;Peanuts,egg;milk;peanut;soy;wheat_gluten,,,NOT SUITABLE,CONFIRMED,Egg;Milk;Peanuts,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
0000105748562,,Egg;Milk;Peanuts,wheat_gluten,egg,,POTENTIAL RISK,PRECAUTIONARY,Egg,The product may pose a risk because the model detected precautionary evidence associated with the user's allergy profile.
0001000657163,Tortellini Ricotta Epinard,Egg;Milk;Peanuts,egg;milk;wheat_gluten,,,NOT SUITABLE,CONFIRMED,Egg;Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
00000024,Croccante con pistacchi e miele,Egg;Milk;Peanuts,,peanut;sesame;tree_nut;wheat_gluten,,POTENTIAL RISK,PRECAUTIONARY,Peanuts,The product may pose a risk because the model detected precautionary evidence associated with the user's allergy profile.
00000224,madeleine Bijou ChocoPépites,Egg;Milk;Peanuts,egg;milk;wheat_gluten,soy;tree_nut,,NOT SUITABLE,CONFIRMED,Egg;Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
00000550,Krautsalat,Egg;Milk;Peanuts,,peanut;sesame;tree_nut;wheat_gluten,,POTENTIAL RISK,PRECAUTIONARY,Peanuts,The product may pose a risk because the model detected precautionary evidence associated with the user's allergy profile.
0002000012670,,Egg;Milk;Peanuts,wheat_gluten,egg;milk;mustard;sesame;soy,,POTENTIAL RISK,PRECAUTIONARY,Egg;Milk,The product may pose a risk because the model detected precautionary evidence associated with the user's allergy profile.
0001110843432,"Mixed Nuts, Salted",Egg;Milk;Peanuts,peanut;tree_nut,,,NOT SUITABLE,CONFIRMED,Peanuts,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
0001757016092,Finest Milk Chocolate,Egg;Milk;Peanuts,milk;soy;tree_nut,,,NOT SUITABLE,CONFIRMED,Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
0000112407510,velouté de cresson.,Egg;Milk;Peanuts,milk,celery;egg;wheat_gluten,,NOT SUITABLE,CONFIRMED,Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
000000000063,M&amp;M white,Egg;Milk;Peanuts,wheat_gluten,sesame,,SUITABLE,NO DETECTED USER ALLERGEN,,"The model did not detect a confirmed, threshold, or precautionary allergen matching the current user allergy profile."
