product_code,product_name,ingredient_text,svm_predicted,p_haf_confirmed,p_haf_potential,common_labels,svm_only,kg_only,svm_potential_overlap,agreement,disagreement_type,direct_matches,precautionary_matches,special_threshold_matches
5060002043073,The Award Winning Selection,"Chocolate (Cocoa Mass*, Cane Sugar*, Cocoa butter Vanilla Powder), Coconut Oil*, Hazelnuts*, Almond Paste&quot;, Stem Ginger (Ginger, Cane Sugar), Cane Sugar*, Cocoa Powder*, Rhubarb Water, Ground Coffee*, Agave Syrup*, Sea Salt, Vanilla Extract*. *=Organically grown ingredients. Also contains other nuts. We use tree nuts throughout our factory and processes. Chocolate: minimum cocoa solids 55%. May contain occasional nut shell piece.  Dairy free. Gluten free. Soya free. Egg free. Fish free. Mollusc free.",milk;tree_nut;wheat_gluten,egg;fish;milk;tree_nut;wheat_gluten,,milk;tree_nut;wheat_gluten,,egg;fish,,disagreement,kg_only_prediction,almond -> tree_nut;butter -> milk;egg -> egg;fish -> fish;gluten -> wheat_gluten;hazelnuts -> tree_nut;tree nuts -> tree_nut,,
3770007109033,"Granola Maman Bobo Sans Gluten, Bananes Et Coco","MÈRE MIMOSA TOUCH GR AN OLA La Mère Mimosa offre aux petits et aux grands Frenchies l'occasion de découvrir le vrai granola venu des USA, revisité de façon artisanale dans son petit atelier parisien avec des Produits entièrement naturels pour retrouver le plaisir d'un petit-déjeuner sain, copieux et savoureux. Toutes nos recettes sont 100% bio, sans colorants ni C Onservateurs. MAMAN BOBO sarrasin* (26,4%), Amandes* (1 3,2%), Graines de tOUrnesol* Noix* (7,9%), Graines de courge* (6,6%), Bananes déshydratées* (6,2%), Graines de chia* (5,3%), Graines de sésame* (5,3%), Miel* (5,3%), Noix de coco* (5,3%), Sirop d'agave* (5,3%) * INGREDIENTS ISSUS DE L'AGRICULTURE BIOLOGIQUE. LES ALLERGÈNES SONT INSCRITS EN GRAS. PEUT CONTENIR DES TRACES D'AUTRES VALEURS Energie",sesame,sesame;tree_nut,,sesame,,tree_nut,,disagreement,kg_only_prediction,graines de sesame -> sesame;noix -> tree_nut;sesame -> sesame,,
3700417301505,Takikomi recette japonaise riz vapeur aux légumes et aux fruits de mer,"Riz blanc précuit 44,7 % (eau, riz, sel), brocoli 9,1%, poivron rouge 7,8%, crevettes décortiquées cuites 7, 1 % (crevettes, eau, sel), tentacules de calmar 6%, graine de soja 4,9%, sauce soja 3,5% (eau, soja, blé, sel, vinaigre d'alcool, alcool, sucre), haricots adzuki 3,5%, eau, huile de tournesol, graines de sésame doré, vinaigre de riz (riz, eau), mirin (sirop de glucose de tapioca, eau, riz gluant, alcool de canne à sucre, sel, riz), purée de tomate double concentrée, sucre, sauce de poisson (poisson, sel, eau), jus de yuzu 0,3%, fumet de poisson aromatisé déshydraté (maltodextrine, sel, farine de blé, poisson, sucre, légumes (oignon, poireau, céleri), crème (lait), extrait de levure, huile d'olive, arôme naturel (contient poisson), lactose, crevette en poudre et extrait de crevette, épices et plantes aromatiques, extrait de vin blanc), gingembre, épaississant : gomme guar. Traces de contamination croisée de moutarde.",crustaceans;milk;sesame;soy;wheat_gluten,celery;crustaceans;milk;molluscs;sesame;soy;wheat_gluten,mustard,crustaceans;milk;sesame;soy;wheat_gluten,,celery;molluscs,,disagreement,kg_only_prediction,ble -> wheat_gluten;calmar -> molluscs;celeri -> celery;creme -> milk;crevette -> crustaceans;crevettes -> crustaceans;farine de ble -> wheat_gluten;graines de sesame -> sesame;lactose -> milk;lait -> milk;sesame -> sesame;soja -> soy,moutarde -> mustard,
4047247407762,Veganer Burger Classic,"40% Sesamweizenbrötchen (Weizenmehl, Trinkwasser, Zucker, Hefe, Rapsöl, Sesam, Speisesalz, Emulgator: Mono - und Diacetylweinsäureester von Mono - und Diglyceriden von Speisefettsäuren; Stabilisator: Calciumsulfat), 31% veganes Patty auf Basis von Pflanzenproteinen (Trinkwasser, Rapsöl, 20% pflanzliche Proteine* (Weizen, Ackerbohne, Erbse), Stabilisator: Methylcellulose; Stärke (enthält Weizen), Aromen, Speisesalz, Gewürze, Säureregulator: Natriumlactat; Branntweinessig, Farbstoff: Betenrot; Pfefferextrakt, Gerstenmalzextrakt), 13 % Lebensmittelzubereitung auf Basis von Trinkwasser und Pflanzenölen (Trinkwasser, modifizierte Stärke, pflanzliche Öle (Raps, Olive), Speisesalz, pflanzliche Proteine (Ackerbohnen, Erbsen), Säuerungsmittel: Citronensäure; Farbstoff: Carotin), 9% Senf-Ketchup-Sauce (eingelegte Gurken (Gurken, Trinkwasser, Branntweinessig, Zucker, Speisesalz), Rohrzucker, Zwiebeln, Trinkwasser, Tomatenmark, Senf (Trinkwasser, Senfsaaten, Branntweinessig, Meersalz, Gewürze, Kräuter), Röstzwiebeln (Zwiebeln, Sonnenblumenöl), Branntweinessig, modifizierte Stärke, Speisesalz, Verdickungsmittel: Xanthan; Gewürze, Dextrose, Gewürzextrakt: Paprika; Liebstöckel), 7% Ketchup (Trinkwasser, Rohrzucker, Tomatenmark, Branntweinessig, modifizierte Stärke, Speisesalz, Verdickungsmittel: Xanthan; Gewürze, Säuerungsmittel: Citronensäure). *entspricht 6% pflanzliches Protein bezogen auf das Endprodukt. Kann Spuren von Milch, Ei, Soja und Sellerie enthalten.",mustard;wheat_gluten,mustard;sesame;wheat_gluten,celery;egg;milk;soy,mustard;wheat_gluten,,sesame,,disagreement,kg_only_prediction,gerstenmalzextrakt -> wheat_gluten;senf -> mustard;sesam -> sesame;weizen -> wheat_gluten;weizenmehl -> wheat_gluten,ei -> egg;milch -> milk;sellerie -> celery;soja -> soy,
0191907989892,up&up,"does not contain gluten, milk, egg, soy, peanuts, fish, shellfish artificial flavors, artificial sweeteners, colors from artificial sources directions: children 2-3 year age, chew one (1) gummy per day, under adult supervision. crdren 4 years and older, chew two (2 gummies per day, under adult supervision. chew completely before swallowing warning: keep out of reach of children. do not exceed recommended dosage. this product requires adult supervision and should not be given to children under 2 years of age. gummies can be a choking hazard. if your child has a medical condition or is taking any prescription medication, consulta physician before use. do not use if seal under cap is broken or missing. store: keep in a dry area away from direct eight. recommended storage is between 45°f-75°f. gummy colors may change over time due to natural colors. this does not alter the potency of the product. any clouding of bottle is normal. to ensure quality and potency through expiration, this products manufactured with higher active ingredient levels than the indicated aount per serving. 香 see bottom of bottle for expiration date and lot information 094 02 1580 r00 c-002262-01-086-0000",egg;fish;milk;peanut,egg;fish;milk;peanut;soy;wheat_gluten,,egg;fish;milk;peanut,,soy;wheat_gluten,,disagreement,kg_only_prediction,egg -> egg;fish -> fish;gluten -> wheat_gluten;milk -> milk;peanuts -> peanut;soy -> soy,,
0075391032381,"Sea best, spinach & artichoke flounder","Contains: fish (flounder), milk, soy, tree nuts (coconut oil), packed in a facility that also processes crustacean shellfish. because this product is natural it may contain bones.",fish,fish;milk;soy;tree_nut,,fish,,milk;soy;tree_nut,,disagreement,kg_only_prediction,fish -> fish;milk -> milk;soy -> soy;tree nuts -> tree_nut,,
0078742375366,"Dark chocolate almonds, cranberries, & aronia berries clusters","sugar, cocoa liquor, corn [barley sunflower lecithin), almonds aronia berries, sweetened dried cranberries 8 pieces) (cranberries, sugar, sunflower oil, cocoa butter, butterfat, sunflower lecithin natural flavor (maltodextrin, natural flavor, triacetin) n facts ner container at 2% contains milk and almonds. may contain traces of eggs, cashews, coconut, azelnuts, pistachios, walnuts, peanuts nt and soy. ted by: walmart inc., ville, ar 72716 ct of germany tore in a cool, dry place.",milk;tree_nut,milk;tree_nut;wheat_gluten,egg;peanut;soy,milk;tree_nut,,wheat_gluten,,disagreement,kg_only_prediction,almonds -> tree_nut;barley -> wheat_gluten;butter -> milk;milk -> milk,cashews -> tree_nut;eggs -> egg;peanuts -> peanut;pistachios -> tree_nut;soy -> soy;walnuts -> tree_nut,
8585002428875,Gazdovská polievka,"WHEAT flour, spices (sweet paprika, cumin, marjoram, hot paprika, black pepper), salt, corn starch, sunflower oil, dried vegetables (onion, garlic powder), flavor enhancers (monosodium glutamate, disodium 5'-ribonucleotide), potato flakes, dried pork pieces 1.7%, dried yeast extract, sugar, smoked pork bacon fat, dried EGGS, WHEAT GLUTEN, flavors, BARLEY malt extract, colors (paprika extract, plain caramel), yeast, acidity regulator (citric acid), antioxidant (rosemary extracts), mineral (potassium iodate). %-based on the content of the ingredient in the entire product. May contain MILK, SOY, CELERY and FISH.",celery;wheat_gluten,egg;wheat_gluten,celery;fish;milk;soy,wheat_gluten,celery,egg,celery,disagreement,both_sides_different,barley -> wheat_gluten;barley malt -> wheat_gluten;barley malt extract -> wheat_gluten;eggs -> egg;gluten -> wheat_gluten;wheat -> wheat_gluten;wheat flour -> wheat_gluten,celery -> celery;fish -> fish;milk -> milk;soy -> soy,
4056489291251,Girasoli mit Räucherlachs & Kirschtomaten,"60% Räucherlachs-Kirschtomaten-Füllung [18% Ricotta-Molkeneiweißkäse (Süßmolke, Sahne, Milch, Speisesalz), Wasser, Sonnenblumenöl, 5,4% Kirschtomaten, 4,8% Räucherlachs (Lachs, Speisesalz, Buchenholzrauch), passierte Tomaten (Tomaten, Tomatensaft), Paniermehl (Weichweizenmehl, Wasser, Speisesalz), Süßmolkenpulver, Kartoffeln getrocknet, 1% Petersilie, Speisesalz, natürliche Aromen (enthält Fisch, Krebstiere), Zitronensaft aus Zitronensaftkonzentrat, Knoblauch, Pfeffer schwarz], 40% Eier-Teigwaren (Hartweizengrieß, 8% Vollei*). *von Eiern aus Bodenhaltung.",egg;milk,egg;fish;milk,,egg;milk,,fish,,disagreement,kg_only_prediction,eier -> egg;lachs -> fish;milch -> milk;molke -> milk;sahne -> milk,,
8683717472432,,"Levure épices (poudre de piment rouge, poudre de piment fort (piment 0,7%), poudre de poivre noir, poudre de céleri, poudre de gingembre), proteine de mais hydrolysée huile végétale (huile de palme et de coco), Anti-Agents Agglomerant (E551)]. Peut contenir des traces d'arachides, fruits à coque dure, ceufs et ovoproduits, poisson et produits a base de poisson, moutarde et produits à base de moutarde. Emballé dans une atmosphère protectrice Risque d'étouffement pour les enfants. Conserver dans un endroit sec et frais. DE Kartoffelchips Mit Gemüse-Geschmack Zutaten: Getrocknet Kartoffeln, Pflanzenöl (Palmöl), Weizenstärke (Ent it Gluten), Maisstärke, Gemüsegewürz (7,8%), [Gemüsepuer (zwiebelpulver, knoblauchpulver tomatenpulver), zucker(Rohrzucker), maltodextrin (mais salz, Milchpulver (Enthält Milchprodukte), Geschmacksverstärker (E621, E635), Hefeextrakt, Gewürze (rotes Pfefferpulver, scharfes Pfefferpulver (Chili 0,7%) Schwarzes Pfefferpulver, Selleriepulver, Ingwerpulver pflanzenöl (Palmöl, Kokosöl) Antibackmittel: (E-551) Kann Spurenmengen Erdnüsse, Hartschalige Früchte, Ei und Elprodukte, Fisch und Fischprodukte, Senf und Senfprodukte enthalten. Unter Schutzatmosphäre verpackt. Kann bei Kleinkindern in die Luftröhre gelangen Trocken und kühl lagern. SE Potatischips Med Grönsakskrydda Ingredienser: Torkade Potatis, Vegetabilisk Olja (Palmoljal Vetestärkelse (Innehåller Gluten), Majsstärkelse Vegetabilisk Krydda (7,8%), [Vegetabiliska Pulver (Lökpulver Vitlökspulver, tomatpulver), socker(rörsocker), maltodextrin (majs), salt, mjölkpulver (innehåller Mejeriprodukter Aromer (E621, E635), Jästextrakt, Kryddor (rödpepparpulver hetpepparpulver (chili 0,7%), svartpepparpulver selleripulver Pain Innde Medel (E-55) tskalade",celery;milk;mustard;peanut;wheat_gluten,celery;egg;milk;mustard;peanut;wheat_gluten,tree_nut,celery;milk;mustard;peanut;wheat_gluten,,egg,,disagreement,kg_only_prediction,celeri -> celery;ei -> egg;erdnusse -> peanut;gluten -> wheat_gluten;milchpulver -> milk;senf -> mustard;weizenstarke -> wheat_gluten,arachides -> peanut;fruits a coque -> tree_nut;moutarde -> mustard,
9329320304737,Spar watermelon slices,"glucose syrup, sugar, water, gelatine (pork), humectant (420), acidity regulators (330, 296, 270, 325, 350), gelling agent (440), flavours, fruit and vegetable concentrates (carrot, blackcurrant), colours (100, 120, 133, 160c, 171).  allergen warning: contains gluten. may be present, milk, soy, lupin, peanuts, tree nuts.",lupin;milk;peanut;soy,lupin;milk;peanut;soy;tree_nut;wheat_gluten,,lupin;milk;peanut;soy,,tree_nut;wheat_gluten,,disagreement,kg_only_prediction,gluten -> wheat_gluten;lupin -> lupin;milk -> milk;peanuts -> peanut;soy -> soy;tree nuts -> tree_nut,,
8690526000343,Tutku,"Wheat flour (Contains gluten), 3achar, Vegetable oil (Palm, sunflower, cottonseed, rapeseed), Sesame paste, Low-fat cocoa powder 2.7%, Hazelnut puree, Lactose (Milk product), Salt, Raising agents (Sodium acid pyrophosphate , Sodium hydrogen carbonate), Carob flour, Emulsifier (Sunflower lecithin), Flavorings. May contain peanuts and eggs.",milk;wheat_gluten,milk;sesame;tree_nut;wheat_gluten,egg;peanut,milk;wheat_gluten,,sesame;tree_nut,,disagreement,kg_only_prediction,gluten -> wheat_gluten;hazelnut -> tree_nut;lactose -> milk;milk -> milk;sesame -> sesame;wheat -> wheat_gluten;wheat flour -> wheat_gluten,eggs -> egg;peanuts -> peanut,
