product_code,product_name,ingredient_text,svm_predicted,p_haf_confirmed,p_haf_potential,common_labels,svm_only,kg_only,svm_potential_overlap,agreement,disagreement_type,direct_matches,precautionary_matches,special_threshold_matches
0077260081797,"Russell stover, assorted fine chocolate","Consist of chocolate {sugar, chocolate, chocolate processed with alkali, cocoa butter, whole milk, milk fat, soy lecithin (an emulsifier), vanilla (a natural flavor), vanillin (an artificial flavor)}, whirte chocolate {sugar, cocoa butter, whole milk, soy lecithin (an emulsifier). artificial flavor, salt), sugar, corn syrup, whole milk, nonfat milk solids. condensed milk. raspberries, dairy cream, brown sugar, coconut oil, palm kernel oil, hazelnuts. natural and artificial flavors, honey, soy lecithin (an emulsifier), salt, citric acid, lemon oil, potassium sorbate (preservative), invertase (an enzyme). and fd&c colors (yellow #5, red #40, blue #1). 8179-112.",milk;soy;tree_nut,milk;soy;tree_nut,,milk;soy;tree_nut,,,,exact_agreement,,butter -> milk;cream -> milk;hazelnuts -> tree_nut;milk -> milk;soy -> soy;soy lecithin -> soy;whole milk -> milk,,
0021131507138,"Marie callender's, slow roasted beef with garlic mashed potatoes in savory gravy","Garlic mashed potatoes (rehydrated potato flakes and granules [water, potatoes, mono - and diglycerides, disodium dihydrogen pyrophosphate, citric acid, bht, sodium bisulfate], garlic, soybean oil, butter [cream, salt], sea salt, sugar, black pepper, parsley, dried cane syrup), water, beef and modified food starch product (beef, water, contains 2% or less of: dextrose, salt, flavor [natural flavor, salt, maltodextrin, dried whey, dried cauliflower, sesame oil], soybean oil, modified food starch, sodium phosphate, caramel color, spice extractives), green beans, carrots, contains 2% or less of: modified corn starch, onions, beef flavor (cooked beef, yeast extract, maltodextrin, caramelized sugar syrup, beef tallow, beef extract, vegetable juice concentrates [onion, carrot, celery], salt, sugar, corn starch, lactic acid, flavors), wine, tomato paste, salt, sugar, canola oil, garlic, butter (cream, salt), flavoring",celery;milk;sesame;soy,celery;milk;sesame;soy,,celery;milk;sesame;soy,,,,exact_agreement,,butter -> milk;celery -> celery;cream -> milk;sesame -> sesame;sesame oil -> sesame;soybean -> soy;whey -> milk,,
3282946019552,Champagne Blanc de Blancs Cuvée Spéciale,Champagne. Contient des sulfites.,,,,,,,,exact_agreement,,,,sulfites -> sulphites
00804677,Chargrilled Calamari Rings,"Squid 94% (_Mollusc_), Sunflower Oil, Salt, Cracked Black Pepper, Dried Red Peppers.",molluscs,molluscs,,molluscs,,,,exact_agreement,,squid -> molluscs,,
0789707720250,50/50 Blend Baby Spinach / Spring Mix,"Spinach, tango, lolla rosa, red and green romaine, red and green oak, red and green chard, mizuna, radicchio, frisee, beet greens, arugula, tat-soi, red mustard, kale, collard greens.",mustard,mustard,,mustard,,,,exact_agreement,,mustard -> mustard,,
5999565270445,10 STRAWS GLUTEN FREE Milky Sip Chocolate flavoure,"Sugar, fat reduced cocoa powder, fructose, glucose syrup, natural flavouring",,,,,,,,exact_agreement,,,,
7613312340417,Fit & well Myrtilles,"Myrtilles 60%, fructose, eau, gélifiant: pectine, acidifiant: acide citrique, conservateur: sorbate de potassium.",,,,,,,,exact_agreement,,,,
93364948906435871,"Papa John's, Garden Fresh Pizza On Thin Crust, 1 Slice",undefined,,,,,,,,exact_agreement,,,,
0085239261361,"Dip made with black beans, diced tomatoes, sweet corn, poblano peppers & lime juice, cuban-style black bean","Diced tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), water, cooked black beans, roasted sweet corn, poblano peppers, tomato paste, green chile peppers, jalapeno peppers, roasted onions, less than 2% of bacon fat, sunflower oil, glutamic acid, salt, dehydrated garlic, sugar, lime juice concentrate, apple cider vinegar, spices (includes mustard), cilantro, autolyzed yeast extract, onion powder, sea salt, cane sugar, garlic, roasted sesame seeds, onions, citric acid, paprika, natural flavors, dehydrated red pepper, corn starch, yeast extract, natural smoke flavor.",mustard;sesame,mustard;sesame,,mustard;sesame,,,,exact_agreement,,mustard -> mustard;sesame -> sesame;sesame seeds -> sesame,,
3701005300160,Vahiti Madeleines Pur Beurre d'Isigny AOP et œufs de poules élevées en plein air,"_Beurre_ d'Isigny AOP (24 %), _œufs_ frais de poules élevées en plein air, farine de _blé_ (_gluten_), sucre, sirop de glucose, stabilisant : sorbitol, poudre à lever (diphosphate disodique, carbonate acide de sodium, farine de _blé_), sel, arôme naturel de vanille, poudre de vanille Tahiti.",egg;milk;wheat_gluten,egg;milk;wheat_gluten,,egg;milk;wheat_gluten,,,,exact_agreement,,beurre -> milk;ble -> wheat_gluten;farine de ble -> wheat_gluten;gluten -> wheat_gluten;oeufs -> egg,,
4337256681858,Garnelen,"Garnelen, Speisesalz",crustaceans,crustaceans,,crustaceans,,,,exact_agreement,,garnelen -> crustaceans,,
20713751,Tarte aux poires façon amandine,"32% poires Williams au sirop (poires Williams, eau, sucre, correcteur d'acidité: acide citrique, farine de blé, sucre, 8% beurre (lait), eau, 5% beurre (lait) concentré, 5% oeufs frais, nappage (eau, sirop de glucose-fructose, sucre, gélifiants: pectines, carraghénanes; correcteurs d'acidité: acide citrique, phosphates de potassium, citrates de calcium), 1,5% amandes en poudre, semoule de riz, amidon modifié de pomme de terre, amidon de blé, lactose et protéines dé lait, lait écrémé en poudre, dextrose, crème (lait) en poudre, poudres à lever:diphosphates, carbonates de sodium, phosphates de calcium; gélifiants : alginate de sodium, sulfate de calcium, disphosphates; arôme, colorants: caroténoïdes, curcumine. Traces éventuelles de soja, de céleri et de poissons.",egg;milk;wheat_gluten,egg;milk;wheat_gluten,celery;soy,egg;milk;wheat_gluten,,,,exact_agreement,,beurre -> milk;ble -> wheat_gluten;creme -> milk;farine de ble -> wheat_gluten;lactose -> milk;lait -> milk;lait ecreme -> milk;oeufs -> egg;proteines de lait -> milk,celeri -> celery;soja -> soy,
3700912300669,Mousse de foie,"Gras de porc, foie de porc 31 0%, eau, plantes aromatiques déshydratées, sel, dextrose, farine de blé, arômes naturels, conservateur : nitrite de sodium. Viande de porc origine France.",wheat_gluten,wheat_gluten,,wheat_gluten,,,,exact_agreement,,ble -> wheat_gluten;farine de ble -> wheat_gluten,,
0016695774911,Lemon Mayo,"Water, Rapeseed Oil (30%). Sugar, Spirit Vinegar, Pasteurised Salted Egg Yolk (3%) [Egg Yolk, Salt Lemon Juice (2%), Cornflour, Citrus Fibre, Salt servative (Potassium Sorbate). Thickenen han Gum), Lemon Zest, Sumac, Thyme, Cure Coriander, Oregano, Flavouring. Allergy Advice or allergens, see ingredients in bold. Suita efor vegetarians. STORAGE Store in a cool, dry place.",egg,egg,,egg,,,,exact_agreement,,egg -> egg;egg yolk -> egg,,
0007789019500,Seafood hors d'oeuvres mini crab cakes,"Crab meat (crab meat, sodium acid pyrophosphate), mayonnaise (soybean oil, eggs, cider vinegar, egg yolk, distilled vinegar, water, lemon juice, salt, spice), panko breadcrumbs (wheat flour, cane sugar, yeast, sea salt), corn starch, parsley, lemon juice, seasoning (celery salt, spices, paprika), white pepper, mustard powder.",celery;crustaceans;egg;mustard;soy;wheat_gluten,celery;crustaceans;egg;mustard;soy;wheat_gluten,,celery;crustaceans;egg;mustard;soy;wheat_gluten,,,,exact_agreement,,celery -> celery;crab -> crustaceans;egg -> egg;egg yolk -> egg;eggs -> egg;mustard -> mustard;soybean -> soy;wheat -> wheat_gluten;wheat flour -> wheat_gluten,,
0057800062264,Life Cod Liver Oil,"DO NOT USE IF SECURITY SEAL UNDER CAP IS BROKEN OR MISSING, NE PAS UTILISER SI LE SCEAU DE SÉCURITÉ SOUS LE BOUCH EST BRISE OU MANQUANT, Factors in the maintenance of good health, Helps in the development and maintenance of bones, teeth and night vicion Contribue au maintien d'une bonne santé, Aide au développement et à l'entretien des os, des dents et de la vísion nocturne, Each softgel contains/ Chaque gélule contient : Cod Liver Oif (Gadus morhua) (liver)/Huile de foie de morue (Gadus morhua (foie), Vitamin A (Vitamin A Palmitate, Cod Liver Oil) /Vitamine A (paimitate de vitamine A, hule de foie de morue,,378 mcg RAE/EAR (1250 MU) Vitamin Dg (Cholecalciferol, Cod Liver Oil) /Vitamine Dg (cholécalcferdl, hulle de foie de morue),, Non-medicinal ingredients (descending): Softgel Capsule (Celatin, Giycerin, Purfied Water), No preservatives, colours or artificial flavours, Ingrédients non médicinaux (ordre décroissant): gélule (gélatine, dycerine, eau purfiée, as agenits de conservation, colorants ni arómes artificiels, AUTION: KEEP OUT OF THE REACH OF CHILDREN, STORE AT 550mg 10 mcg (400 U) ROOM TEMPERATURE, MGE EN GARDE: GARDER HORS DE LA PORTEE DES ENFANTS, TENIR A LA TEMPÉRATURE AMBIANTE, DIRECTIONS (ADULTS): Take 1 softgel 2 times daily or as directed by a health care practitionet, POSOLOGIE (ADULTES): Prendre 1 gélule 2 fois par jour ou selon s drectives d'un praticien de la sante,",fish,fish,,fish,,,,exact_agreement,,cod -> fish;morue -> fish,,
0850273005482,Kraut krisps,"Sauerkraut* (green cabbage*, water, sea salt), corn flour*, vegetable oil* (sunflower* and/or safflower* and/or red palm olein*), brown rice flour*, sea salt, green bell pepper*, chipotle*, jalapeno*, organic inulin*, bacillus coagulans gbi-30 6086, yeast extract*, maltodextrin, smoke flavor",,,,,,,,exact_agreement,,,,
9300633529277,Yellowfin Tuna in Springwater,"Yellowfin tuna (76%), spring water (23%), salt.",fish,fish,,fish,,,,exact_agreement,,tuna -> fish,,
0002173970033,b,"potatoe,mayo,celery,eggs,onions,salad mustard,sugar,salt,onion salt with parsley,spices,potassium sorbate,sodium benzoate",celery;egg;mustard,celery;egg;mustard,,celery;egg;mustard,,,,exact_agreement,,celery -> celery;eggs -> egg;mustard -> mustard,,
0023700014054,Buffalo Style Boneless Chicken Bites,"White meat chicken, water, enriched wheat flour (niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), wheat flour, vinegar, aged cayenne peppers, contains 2% or less of: caramel color, carob bean gum, dehydrated garlic, dehydrated onion, dextrose, dried yeast, egg solids, granulated garlic, guar gum, leavening (sodium bicarbonate and sodium aluminum phosphate), malted barley flour, maltodextrin, modified corn starch, modified food starch, natural flavor, nonfat milk, oils (soybean oil, canola oil, palm oil), oleoresin paprika, salt, sodium alginate, sodium diacetate, sodium phosphates, soy flour, spice extractives (including extractives of paprika), spices, tbhq (to protect flavor), vinegar powder (maltodextrin, modified food starch, vinegar), whey, xanthan gum and yellow corn flour. breading set in vegetable oil.",egg;milk;soy;wheat_gluten,egg;milk;soy;wheat_gluten,,egg;milk;soy;wheat_gluten,,,,exact_agreement,,barley -> wheat_gluten;barley flour -> wheat_gluten;egg -> egg;milk -> milk;soy -> soy;soy flour -> soy;soybean -> soy;wheat -> wheat_gluten;wheat flour -> wheat_gluten;whey -> milk,,
3104544018143,Bloc de foie gras de canard,"Foie gras de canard, eau, Armagnac, sel, sucre, épices, antioxydant : ascorbate de sodium, conservateur : nitrite de sodium.",,,,,,,,exact_agreement,,,,
0077958694568,Black Bean Soup,"Black beans (black beans, water, salt, calcium chloride, ferrous gluconate), water, onions celery, vegetable base (carrot, celery, onion, tomato paste, corn oil, yeast extract, potato flour, salt, onion powder, garlic powder, flavoring), contains 2% or less of red bell peppers, modified food starch, salt lemon juice, powdered garlic, spices and nisin preparation.",celery,celery,,celery,,,,exact_agreement,,celery -> celery,,
54100056000399,Pesto Sauce,"Basil, sunflower seed oil, cashew-nuts, cheese (milk, rennet, salt) and pecorino cheese (sheep milk, rennet, salt), cream in powder, salt, pine-nuts, garlic, acidifying agent: lactic acid.",milk;tree_nut,milk;tree_nut,,milk;tree_nut,,,,exact_agreement,,cashew -> tree_nut;cream -> milk;milk -> milk,,
0057864000011,TOFU MEDIUM FIRM,"water, soybeans (non-gmo), calcium sulphate, glucono-delta-lactone",soy,soy,,soy,,,,exact_agreement,,soybeans -> soy,,
0209538012794,Jambon superieur cuit au torchon,"Jambon de porc (origine: France), sel, dextrose, arôme naturel, antioxydant: ascorbate de sodium ; conservateur : nitrite de sodium.",,,,,,,,exact_agreement,,,,
0092825094302,Stewed tomatoes,"Tomatoes, tomato juice, sugar, salt, dried onion, dried celery, dried bell pepper, citric acid, calcium chloride, natural flavors.",celery,celery,,celery,,,,exact_agreement,,celery -> celery,,
4305615838205,Knabberkram exotic,"25% Mangostücke (getrocknet), 21% Bananen - Chips, geröstet (Bananenscheiben, Kokosnussöl 18% Rohrzucker, Aroma), 19% Mandeln, 18% Cashewkerne, 17% Kokosnussstücke, Antioxidationsmittel: Schwefeldioxid.",tree_nut,tree_nut,,tree_nut,,,,exact_agreement,,mandeln -> tree_nut,,schwefeldioxid -> sulphites
0083351978761,Louisiana cajun salmon,"Wild caught salmon, sauce (water, canola oil, distilled white vinegar, spices, sea salt, onion, garlic, citric acid, brown sugar, xanthan gum, lemon oil)",fish,fish,,fish,,,,exact_agreement,,salmon -> fish,,
0085693405028,"Sesmark, Chocolate Drizzles, Chocolate Coated Snack Crackers, Milk Chocolate Peanut Butter","Milk chocolate (sugar, cocoa butter, chocolate liquor, whole milk, soy lecithin [an emulsifier], vanilla), rice cracker (whole brown rice, natural sesame seeds, expeller pressed safflower oil, salt, rosemary extract), peanut butter (peanuts, salt).",milk;peanut;sesame;soy,milk;peanut;sesame;soy,,milk;peanut;sesame;soy,,,,exact_agreement,,butter -> milk;milk -> milk;peanut -> peanut;peanut butter -> peanut;peanuts -> peanut;sesame -> sesame;sesame seeds -> sesame;soy -> soy;soy lecithin -> soy;whole milk -> milk,,
0074791263104,Shrimp Uncooked,"Shrimp, salt",crustaceans,crustaceans,,crustaceans,,,,exact_agreement,,shrimp -> crustaceans,,
2431628025782,Filet de poulet roti,".' Filets de poulet avec peau France, eau, set huile de tournesol, sucre roux, sirop de glucose de blé, protéine de pois, fibres de carotte, épaississant : carraghénanes. 109 g de filets de poulet mis en ?uvre pour 100 g de produit fini,",wheat_gluten,wheat_gluten,,wheat_gluten,,,,exact_agreement,,ble -> wheat_gluten,,
26039763,Chips à la crevette,"Farine de manioc' 38,3%, huile de tournesol 32% crevettes' (crustacés) 20%, sucre, sel, ail, acidifiant: acide citrique, agent levant bicarbonate de sodium, 'Origine: Vietnam,",crustaceans,crustaceans,,crustaceans,,,,exact_agreement,,crevettes -> crustaceans,,
0081900080088,Koalas march chocolate creme filled cookies,"Chocolate compound [(contains one or more of the following: fully hydrogenated palm kernal oil, palm kernal oil, palm oil, fully hydrogenated repeseed oil), sugar, lactose, cocoa liquor, cocoa powder (processed with alkali), skim milk powder, soy lecithin, artificial vanilla flavor], wheat flour, modified food starch, palm oil, sugar, eggs, invert sugar, leavening (ammonium bicarbonate & sodium bicarbonate), salt, caramel color (dextrin, propylene glycol, caramel color (e 150d)), artificial cacao flavor",egg;milk;soy;wheat_gluten,egg;milk;soy;wheat_gluten,,egg;milk;soy;wheat_gluten,,,,exact_agreement,,eggs -> egg;lactose -> milk;milk -> milk;milk powder -> milk;skim milk -> milk;soy -> soy;soy lecithin -> soy;wheat -> wheat_gluten;wheat flour -> wheat_gluten,,
4260697371487,,"Dattelsirup, Erdnüsse 15%, Bitterschokolade 13% (Kakaomasse 8.8%, Kakaobutter 2.6%, Kokosblütenzucker), Inulin, Dattelpaste, Reisprotein, teilentöltes Erdnussmehl 7%, desodoriertes Kokosnussöl, Erbsenprotein, Erdnussbutter 4%, Kakaobohnenstücke 3%, Sonnenblumenprotein-Crispies (Sonnenblumenprotein, Reismehl), Meersalz, Flohsamenschalen.  Kann Spuren von Schalenfrüchten, Milch und Sesam enthalten.",peanut,peanut,milk;sesame,peanut,,,,exact_agreement,,erdnussbutter -> peanut;erdnusse -> peanut,milch -> milk;sesam -> sesame,
3350030177393,Saumon atlantique fumé élevé en Norvège,"Saumon Atlantique (Salmo salar) 97,5%-sel 2,5%.",fish,fish,,fish,,,,exact_agreement,,saumon -> fish,,
0011213086842,Tonic Water,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CITRIC ACID, NATURAL FLAVOR, QUININE HYDROCHLORIDE.",,,,,,,,exact_agreement,,,,
